Date,department,gl_account,Scenario,amount
2023-03-01,Operations,Professional Services,Budget,73270.63
2023-03-01,Operations,Utilities,Budget,103763.11
2023-03-01,Operations,Depreciation,Budget,102946.27
2023-03-01,Finance,Product Cost,Budget,65198.88
2023-03-01,Finance,Freight In,Budget,84272.78
2023-03-01,Finance,Packaging,Budget,100701.29
2023-03-01,Finance,Salaries,Budget,66374.86
2023-03-01,Finance,Marketing Spend,Budget,91339.61
2023-03-01,Finance,Software & SaaS,Budget,102983.74
2023-03-01,Finance,Office Rent,Budget,66146.31
2023-03-01,Finance,Travel & Entertainment,Budget,38083.84
2023-03-01,Finance,Professional Services,Budget,41952.89
2023-03-01,Finance,Utilities,Budget,46567.98
2023-03-01,Finance,Depreciation,Budget,103574.11
2023-03-01,HR,Product Cost,Budget,49722.31
2023-03-01,HR,Freight In,Budget,76146.78
2023-03-01,HR,Packaging,Budget,112757.12
2023-03-01,HR,Salaries,Budget,46590.54
2023-03-01,HR,Marketing Spend,Budget,104468.32
2023-03-01,HR,Software & SaaS,Budget,88298.61
2023-03-01,HR,Office Rent,Budget,59130.04
2023-03-01,HR,Travel & Entertainment,Budget,43002.76
2023-03-01,HR,Professional Services,Budget,59722.86
2023-03-01,HR,Utilities,Budget,64247.63
2023-03-01,HR,Depreciation,Budget,106126.78
2023-03-01,IT,Product Cost,Budget,106732.24
2023-03-01,IT,Freight In,Budget,33850.76
2023-03-01,IT,Packaging,Budget,103667.85
2023-03-01,IT,Salaries,Budget,99345.73
2023-03-01,IT,Marketing Spend,Budget,75574.86
2023-03-01,IT,Software & SaaS,Budget,11872.96
2023-03-01,IT,Office Rent,Budget,41352.5
2023-03-01,IT,Travel & Entertainment,Budget,50060.69
2023-03-01,IT,Professional Services,Budget,70216.11
2023-03-01,IT,Utilities,Budget,85678.79
2023-03-01,IT,Depreciation,Budget,108602.7
2023-03-01,Customer Service,Product Cost,Budget,102999.71
2023-03-01,Customer Service,Freight In,Budget,56900.87
2023-03-01,Customer Service,Packaging,Budget,72000.38
2023-03-01,Customer Service,Salaries,Budget,82489.01
2023-03-01,Customer Service,Marketing Spend,Budget,26944.18
2023-03-01,Customer Service,Software & SaaS,Budget,34309.66
2023-03-01,Customer Service,Office Rent,Budget,112314.21
2023-03-01,Customer Service,Travel & Entertainment,Budget,57401.84
2023-03-01,Customer Service,Professional Services,Budget,90766.13
2023-03-01,Customer Service,Utilities,Budget,43123.84
2023-03-01,Customer Service,Depreciation,Budget,110239.32
2023-04-01,Sales,Product Sales,Budget,73834.73
2023-04-01,Sales,Service Revenue,Budget,61965.1
2023-04-01,Sales,Shipping Revenue,Budget,19503.36
2023-04-01,Sales,Product Cost,Budget,50460.02
2023-04-01,Sales,Freight In,Budget,79037.66
2023-04-01,Sales,Packaging,Budget,64608.0
2023-04-01,Sales,Salaries,Budget,100103.63
2023-04-01,Sales,Marketing Spend,Budget,41120.94
2023-04-01,Sales,Software & SaaS,Budget,71125.28
2023-04-01,Sales,Office Rent,Budget,48851.14
2023-04-01,Sales,Travel & Entertainment,Budget,46983.31
2023-04-01,Sales,Professional Services,Budget,111599.53
2023-04-01,Sales,Utilities,Budget,115404.12
2023-04-01,Sales,Depreciation,Budget,71406.79
2023-04-01,Marketing,Product Cost,Budget,33615.86
2023-04-01,Marketing,Freight In,Budget,116709.73
2023-04-01,Marketing,Packaging,Budget,86929.1
2023-04-01,Marketing,Salaries,Budget,55607.35
2023-04-01,Marketing,Marketing Spend,Budget,71653.98
2023-04-01,Marketing,Software & SaaS,Budget,49173.35
2023-04-01,Marketing,Office Rent,Budget,118736.36
2023-04-01,Marketing,Travel & Entertainment,Budget,20082.36
2023-04-01,Marketing,Professional Services,Budget,93504.56
2023-04-01,Marketing,Utilities,Budget,32101.53
2023-04-01,Marketing,Depreciation,Budget,50761.25
2023-04-01,Operations,Product Cost,Budget,61870.41
2023-04-01,Operations,Freight In,Budget,27454.31
2023-04-01,Operations,Packaging,Budget,73699.37
2023-04-01,Operations,Salaries,Budget,34537.43
2023-04-01,Operations,Marketing Spend,Budget,107588.36
2023-04-01,Operations,Software & SaaS,Budget,77766.88
2023-04-01,Operations,Office Rent,Budget,105737.45
2023-04-01,Operations,Travel & Entertainment,Budget,56225.74
2023-04-01,Operations,Professional Services,Budget,115123.08
2023-04-01,Operations,Utilities,Budget,118165.65
2023-04-01,Operations,Depreciation,Budget,81085.28
2023-04-01,Finance,Product Cost,Budget,19679.46
2023-04-01,Finance,Freight In,Budget,96906.08
2023-04-01,Finance,Packaging,Budget,75693.9
2023-04-01,Finance,Salaries,Budget,50636.65
2023-04-01,Finance,Marketing Spend,Budget,14808.15
2023-04-01,Finance,Software & SaaS,Budget,15333.64
2023-04-01,Finance,Office Rent,Budget,30884.53
2023-04-01,Finance,Travel & Entertainment,Budget,36110.09
2023-04-01,Finance,Professional Services,Budget,72773.03
2023-04-01,Finance,Utilities,Budget,74617.91
2023-04-01,Finance,Depreciation,Budget,10268.28
2023-04-01,HR,Product Cost,Budget,35982.45
2023-04-01,HR,Freight In,Budget,59230.09
2023-04-01,HR,Packaging,Budget,82037.16
2023-04-01,HR,Salaries,Budget,71555.75
2023-04-01,HR,Marketing Spend,Budget,68103.47
2023-04-01,HR,Software & SaaS,Budget,113304.12
2023-04-01,HR,Office Rent,Budget,92795.96
2023-04-01,HR,Travel & Entertainment,Budget,59808.64
2023-04-01,HR,Professional Services,Budget,92250.43
2023-04-01,HR,Utilities,Budget,102765.59
2023-04-01,HR,Depreciation,Budget,10869.24
2023-04-01,IT,Product Cost,Budget,66375.4
2023-04-01,IT,Freight In,Budget,42334.08
2023-04-01,IT,Packaging,Budget,54523.33
2023-04-01,IT,Salaries,Budget,40590.35
2023-04-01,IT,Marketing Spend,Budget,55433.13
2023-04-01,IT,Software & SaaS,Budget,13298.47
2023-04-01,IT,Office Rent,Budget,71468.58
2023-04-01,IT,Travel & Entertainment,Budget,94148.22
2023-04-01,IT,Professional Services,Budget,75919.81
2023-04-01,IT,Utilities,Budget,36357.97
2023-04-01,IT,Depreciation,Budget,81632.54
2023-04-01,Customer Service,Product Cost,Budget,85140.93
2023-04-01,Customer Service,Freight In,Budget,58798.95
2023-04-01,Customer Service,Packaging,Budget,39988.88
2023-04-01,Customer Service,Salaries,Budget,44221.01
2023-04-01,Customer Service,Marketing Spend,Budget,83012.66
2023-04-01,Customer Service,Software & SaaS,Budget,114485.99
2023-04-01,Customer Service,Office Rent,Budget,77084.59
2023-04-01,Customer Service,Travel & Entertainment,Budget,72594.03
2023-04-01,Customer Service,Professional Services,Budget,37425.35
2023-04-01,Customer Service,Utilities,Budget,46330.93
2023-04-01,Customer Service,Depreciation,Budget,44204.76
2023-05-01,Sales,Product Sales,Budget,84823.7
2023-05-01,Sales,Service Revenue,Budget,29258.11
2023-05-01,Sales,Shipping Revenue,Budget,106316.34
2023-05-01,Sales,Product Cost,Budget,103157.96
2023-05-01,Sales,Freight In,Budget,98572.42
2023-05-01,Sales,Packaging,Budget,115066.56
2023-05-01,Sales,Salaries,Budget,56012.94
2023-05-01,Sales,Marketing Spend,Budget,67129.68
2023-05-01,Sales,Software & SaaS,Budget,23390.87
2023-05-01,Sales,Office Rent,Budget,30026.79
2023-05-01,Sales,Travel & Entertainment,Budget,95965.25
2023-05-01,Sales,Professional Services,Budget,83148.79
2023-05-01,Sales,Utilities,Budget,117225.07
2023-05-01,Sales,Depreciation,Budget,39291.86
2023-05-01,Marketing,Product Cost,Budget,25110.8
2023-05-01,Marketing,Freight In,Budget,34921.21
2023-05-01,Marketing,Packaging,Budget,63456.74
2023-05-01,Marketing,Salaries,Budget,39682.56
2023-05-01,Marketing,Marketing Spend,Budget,84303.89
2023-05-01,Marketing,Software & SaaS,Budget,66614.93
2023-05-01,Marketing,Office Rent,Budget,43088.18
2023-05-01,Marketing,Travel & Entertainment,Budget,67290.93
2023-05-01,Marketing,Professional Services,Budget,65158.74
2023-05-01,Marketing,Utilities,Budget,39204.49
2023-05-01,Marketing,Depreciation,Budget,74253.38
2023-05-01,Operations,Product Cost,Budget,110469.99
2023-05-01,Operations,Freight In,Budget,95311.34
2023-05-01,Operations,Packaging,Budget,81689.87
2023-05-01,Operations,Salaries,Budget,96988.48
2023-05-01,Operations,Marketing Spend,Budget,98125.61
2023-05-01,Operations,Software & SaaS,Budget,71778.47
2023-05-01,Operations,Office Rent,Budget,107536.16
2023-05-01,Operations,Travel & Entertainment,Budget,103470.25
2023-05-01,Operations,Professional Services,Budget,53515.89
2023-05-01,Operations,Utilities,Budget,81682.44
2023-05-01,Operations,Depreciation,Budget,38099.31
2023-05-01,Finance,Product Cost,Budget,33631.91
2023-05-01,Finance,Freight In,Budget,34661.05
2023-05-01,Finance,Packaging,Budget,50440.96
2023-05-01,Finance,Salaries,Budget,115834.17
2023-05-01,Finance,Marketing Spend,Budget,107109.14
2023-05-01,Finance,Software & SaaS,Budget,29532.88
2023-05-01,Finance,Office Rent,Budget,26601.81
2023-05-01,Finance,Travel & Entertainment,Budget,66111.17
2023-05-01,Finance,Professional Services,Budget,60150.44
2023-05-01,Finance,Utilities,Budget,50552.45
2023-05-01,Finance,Depreciation,Budget,45837.68
2023-05-01,HR,Product Cost,Budget,20195.71
2023-05-01,HR,Freight In,Budget,48236.16
2023-05-01,HR,Packaging,Budget,12387.23
2023-05-01,HR,Salaries,Budget,51147.28
2023-05-01,HR,Marketing Spend,Budget,34617.79
2023-05-01,HR,Software & SaaS,Budget,70206.32
2023-05-01,HR,Office Rent,Budget,19634.97
2023-05-01,HR,Travel & Entertainment,Budget,30629.07
2023-05-01,HR,Professional Services,Budget,30438.54
2023-05-01,HR,Utilities,Budget,105483.47
2023-05-01,HR,Depreciation,Budget,56564.57
2023-05-01,IT,Product Cost,Budget,32529.31
2023-05-01,IT,Freight In,Budget,83878.0
2023-05-01,IT,Packaging,Budget,15238.25
2023-05-01,IT,Salaries,Budget,32792.8
2023-05-01,IT,Marketing Spend,Budget,10172.02
2023-05-01,IT,Software & SaaS,Budget,117987.39
2023-05-01,IT,Office Rent,Budget,77716.3
2023-05-01,IT,Travel & Entertainment,Budget,100582.13
2023-05-01,IT,Professional Services,Budget,49999.34
2023-05-01,IT,Utilities,Budget,18967.37
2023-05-01,IT,Depreciation,Budget,60504.09
2023-05-01,Customer Service,Product Cost,Budget,95635.77
2023-05-01,Customer Service,Freight In,Budget,73841.67
2023-05-01,Customer Service,Packaging,Budget,49803.44
2023-05-01,Customer Service,Salaries,Budget,46712.76
2023-05-01,Customer Service,Marketing Spend,Budget,12084.01
2023-05-01,Customer Service,Software & SaaS,Budget,77806.35
2023-05-01,Customer Service,Office Rent,Budget,115322.62
2023-05-01,Customer Service,Travel & Entertainment,Budget,33712.57
2023-05-01,Customer Service,Professional Services,Budget,65418.02
2023-05-01,Customer Service,Utilities,Budget,44332.24
2023-05-01,Customer Service,Depreciation,Budget,79026.23
2023-06-01,Sales,Product Sales,Budget,111996.67
2023-06-01,Sales,Service Revenue,Budget,24311.0
2023-06-01,Sales,Shipping Revenue,Budget,19016.85
2023-06-01,Sales,Product Cost,Budget,26845.7
2023-06-01,Sales,Freight In,Budget,25392.7
2023-06-01,Sales,Packaging,Budget,74644.14
2023-06-01,Sales,Salaries,Budget,98393.39
2023-06-01,Sales,Marketing Spend,Budget,60589.17
2023-06-01,Sales,Software & SaaS,Budget,59171.25
2023-06-01,Sales,Office Rent,Budget,27049.73
2023-06-01,Sales,Travel & Entertainment,Budget,19095.31
2023-06-01,Sales,Professional Services,Budget,41020.42
2023-06-01,Sales,Utilities,Budget,29757.68
2023-06-01,Sales,Depreciation,Budget,48652.9
2023-06-01,Marketing,Product Cost,Budget,29308.72
2023-06-01,Marketing,Freight In,Budget,19509.27
2023-06-01,Marketing,Packaging,Budget,49138.31
2023-06-01,Marketing,Salaries,Budget,56037.19
2023-06-01,Marketing,Marketing Spend,Budget,59905.81
2023-06-01,Marketing,Software & SaaS,Budget,26477.03
2023-06-01,Marketing,Office Rent,Budget,25273.05
2023-06-01,Marketing,Travel & Entertainment,Budget,36614.97
2023-06-01,Marketing,Professional Services,Budget,62037.63
2023-06-01,Marketing,Utilities,Budget,60016.41
2023-06-01,Marketing,Depreciation,Budget,10848.79
2023-06-01,Operations,Product Cost,Budget,49187.13
2023-06-01,Operations,Freight In,Budget,102617.72
2023-06-01,Operations,Packaging,Budget,58028.57
2023-06-01,Operations,Salaries,Budget,56889.25
2023-06-01,Operations,Marketing Spend,Budget,60859.64
2023-06-01,Operations,Software & SaaS,Budget,17809.78
2023-06-01,Operations,Office Rent,Budget,86760.67
2023-06-01,Operations,Travel & Entertainment,Budget,52137.87
2023-06-01,Operations,Professional Services,Budget,75871.11
2023-06-01,Operations,Utilities,Budget,116902.26
2023-06-01,Operations,Depreciation,Budget,97531.49
2023-06-01,Finance,Product Cost,Budget,35259.99
2023-06-01,Finance,Freight In,Budget,35448.11
2023-06-01,Finance,Packaging,Budget,50763.3
2023-06-01,Finance,Salaries,Budget,90748.36
2023-06-01,Finance,Marketing Spend,Budget,116514.95
2023-06-01,Finance,Software & SaaS,Budget,56046.38
2023-06-01,Finance,Office Rent,Budget,16167.15
2023-06-01,Finance,Travel & Entertainment,Budget,42648.0
2023-06-01,Finance,Professional Services,Budget,21910.03
2023-06-01,Finance,Utilities,Budget,13527.39
2023-06-01,Finance,Depreciation,Budget,53553.93
2023-06-01,HR,Product Cost,Budget,92486.38
2023-06-01,HR,Freight In,Budget,79088.8
2023-06-01,HR,Packaging,Budget,91313.71
2023-06-01,HR,Salaries,Budget,25695.29
2023-06-01,HR,Marketing Spend,Budget,17570.64
2023-06-01,HR,Software & SaaS,Budget,109651.06
2023-06-01,HR,Office Rent,Budget,43525.97
2023-06-01,HR,Travel & Entertainment,Budget,95696.37
2023-06-01,HR,Professional Services,Budget,76747.09
2023-06-01,HR,Utilities,Budget,53048.58
2023-06-01,HR,Depreciation,Budget,37259.43
2023-06-01,IT,Product Cost,Budget,32339.1
2023-06-01,IT,Freight In,Budget,44728.01
2023-06-01,IT,Packaging,Budget,50513.5
2023-06-01,IT,Salaries,Budget,61200.85
2023-06-01,IT,Marketing Spend,Budget,10318.8
2023-06-01,IT,Software & SaaS,Budget,108967.91
2023-06-01,IT,Office Rent,Budget,94817.58
2023-06-01,IT,Travel & Entertainment,Budget,59592.09
2023-06-01,IT,Professional Services,Budget,80376.63
2023-06-01,IT,Utilities,Budget,96491.87
2023-06-01,IT,Depreciation,Budget,116332.26
2023-06-01,Customer Service,Product Cost,Budget,16763.64
2023-06-01,Customer Service,Freight In,Budget,47510.99
2023-06-01,Customer Service,Packaging,Budget,78463.9
2023-06-01,Customer Service,Salaries,Budget,84795.77
2023-06-01,Customer Service,Marketing Spend,Budget,104886.92
2023-06-01,Customer Service,Software & SaaS,Budget,79034.48
2023-06-01,Customer Service,Office Rent,Budget,61777.08
2023-06-01,Customer Service,Travel & Entertainment,Budget,102462.44
2023-06-01,Customer Service,Professional Services,Budget,51875.05
2023-06-01,Customer Service,Utilities,Budget,51645.03
2023-06-01,Customer Service,Depreciation,Budget,14049.11
2023-07-01,Sales,Product Sales,Budget,66272.15
2023-07-01,Sales,Service Revenue,Budget,120049.53
2023-07-01,Sales,Shipping Revenue,Budget,37404.32
2023-07-01,Sales,Product Cost,Budget,17610.83
2023-07-01,Sales,Freight In,Budget,48187.74
2023-07-01,Sales,Packaging,Budget,100783.79
2023-07-01,Sales,Salaries,Budget,51626.64
2023-07-01,Sales,Marketing Spend,Budget,30812.49
2023-07-01,Sales,Software & SaaS,Budget,18099.97
2023-07-01,Sales,Office Rent,Budget,119452.81
2023-07-01,Sales,Travel & Entertainment,Budget,80794.15
2023-07-01,Sales,Professional Services,Budget,76237.4
2023-07-01,Sales,Utilities,Budget,89495.1
2023-07-01,Sales,Depreciation,Budget,48542.41
2023-07-01,Marketing,Product Cost,Budget,79242.85
2023-07-01,Marketing,Freight In,Budget,105712.47
2023-07-01,Marketing,Packaging,Budget,117702.86
2023-07-01,Marketing,Salaries,Budget,32289.5
2023-07-01,Marketing,Marketing Spend,Budget,61379.3
2023-07-01,Marketing,Software & SaaS,Budget,103774.11
2023-07-01,Marketing,Office Rent,Budget,105150.48
2023-07-01,Marketing,Travel & Entertainment,Budget,38705.57
2023-07-01,Marketing,Professional Services,Budget,11358.5
2023-07-01,Marketing,Utilities,Budget,81283.58
2023-07-01,Marketing,Depreciation,Budget,81780.83
2023-07-01,Operations,Product Cost,Budget,59518.34
2023-07-01,Operations,Freight In,Budget,100065.33
2023-07-01,Operations,Packaging,Budget,93609.56
2023-07-01,Operations,Salaries,Budget,101321.42
2023-07-01,Operations,Marketing Spend,Budget,96639.95
2023-07-01,Operations,Software & SaaS,Budget,17134.04
2023-07-01,Operations,Office Rent,Budget,66378.6
2023-07-01,Operations,Travel & Entertainment,Budget,91345.42
2023-07-01,Operations,Professional Services,Budget,76700.03
2023-07-01,Operations,Utilities,Budget,34230.79
2023-07-01,Operations,Depreciation,Budget,74639.85
2023-07-01,Finance,Product Cost,Budget,40617.2
2023-07-01,Finance,Freight In,Budget,99603.99
2023-07-01,Finance,Packaging,Budget,61408.87
2023-07-01,Finance,Salaries,Budget,31593.52
2023-07-01,Finance,Marketing Spend,Budget,85932.42
2023-07-01,Finance,Software & SaaS,Budget,68011.98
2023-07-01,Finance,Office Rent,Budget,102840.97
2023-07-01,Finance,Travel & Entertainment,Budget,85934.64
2023-07-01,Finance,Professional Services,Budget,100560.87
