shipment_id,order_id,carrier,ship_date,total_weight_lbs,billed_shipping_cost,is_bundled_shipment,tracking_number,zone,delivery_days
SHIP-000072,ORD-000074,UPS,2023-02-02,167.21,74.68,0,P98SNLC1TLW7,7,3
SHIP-000073,ORD-000075,DHL,2023-02-03,601.34,339.84,0,UC4WSSCN9OBX,1,3
SHIP-000074,ORD-000076,DHL,2023-02-03,19.98,20.09,0,6KVWPWMSWD3N,3,5
SHIP-000075,ORD-000077,USPS,2023-02-03,177.78,58.53,0,8OWTK95H36PC,3,5
SHIP-000076,ORD-000078,USPS,2023-02-04,178.7,58.81,0,HSHJJ4Q2XAQG,6,1
SHIP-000077,ORD-000079,UPS,2023-02-05,56.66,30.46,0,XAM7BPQJM7X1,8,2
SHIP-000078,ORD-000080,FedEx,2023-02-05,426.23,200.3,0,ULJ3G75ZK1GA,3,9
SHIP-000079,ORD-000081,Amazon Logistics,2023-02-05,277.08,73.77,0,6C2GS4YE45TE,3,7
SHIP-000080,ORD-000082,USPS,2023-02-05,330.65,104.39,0,F841RIZK7C5K,1,4
SHIP-000081,ORD-000083,DHL,2023-02-06,111.37,70.35,0,YGB1RV32II8K,4,8
SHIP-000082,ORD-000084,FedEx,2023-02-06,59.32,35.19,0,MHVJ4UMSG9SX,2,5
SHIP-000083,ORD-000085,Amazon Logistics,2023-02-07,133.21,37.8,0,X3VBLA91JY4X,6,10
SHIP-000084,ORD-000086,DHL,2023-02-08,38.6,30.33,1,LU6QGCBJJUID,2,8
SHIP-000085,ORD-000087,FedEx,2023-02-08,96.08,51.74,1,74AHJOYSJ8OY,8,4
SHIP-000086,ORD-000088,FedEx,2023-02-08,155.11,78.3,0,2VO8PHNCK5QD,1,9
SHIP-000087,ORD-000089,DHL,2023-02-08,169.74,102.46,1,APVSF4ET7WAH,4,6
SHIP-000088,ORD-000090,UPS,2023-02-08,276.58,118.43,1,AO1L9NYPU87H,2,7
SHIP-000089,ORD-000091,FedEx,2023-02-09,364.5,172.53,0,QCLJXCMR5F38,4,10
SHIP-000090,ORD-000092,DHL,2023-02-09,210.33,124.78,0,HW9IN05OSTMG,8,4
SHIP-000091,ORD-000093,FedEx,2023-02-09,253.0,122.35,0,5DJ3RZQL0H5Q,8,1
SHIP-000092,ORD-000094,DHL,2023-02-10,94.28,60.95,0,VWUPTVN29MRQ,7,2
SHIP-000093,ORD-000095,Amazon Logistics,2023-02-10,5.1,5.78,0,BHYAQ6O60DB5,1,5
SHIP-000094,ORD-000096,DHL,2023-02-10,140.16,86.19,0,ZR5PX6B4626S,8,8
SHIP-000095,ORD-000097,USPS,2023-02-10,225.82,72.95,0,YP7VNSGOLCBT,6,8
SHIP-000096,ORD-000098,FedEx,2023-02-11,24.94,19.72,0,7P7DFLRF3TF1,2,3
SHIP-000097,ORD-000099,DHL,2023-02-11,15.25,17.49,0,1W4S6FUYC5AT,2,6
SHIP-000098,ORD-000100,Amazon Logistics,2023-02-11,207.97,56.49,0,UMNQIZKQOELU,8,1
SHIP-000099,ORD-000101,Amazon Logistics,2023-02-11,143.45,40.36,0,E14JZ4JKA0J2,6,7
SHIP-000100,ORD-000102,USPS,2023-02-11,41.12,17.54,1,I5E0L1Q9RVSF,6,5
SHIP-000101,ORD-000103,DHL,2023-02-11,28.29,24.66,0,70JVR3V6N2XV,4,7
SHIP-000102,ORD-000104,FedEx,2023-02-12,138.0,70.6,0,3LJ0N6QU9Y08,8,2
SHIP-000103,ORD-000105,UPS,2023-02-12,118.94,55.38,0,4L90FXV2YREL,7,1
SHIP-000104,ORD-000106,UPS,2023-02-12,423.61,177.24,0,DKIAC7M8CKHD,7,8
SHIP-000105,ORD-000107,DHL,2023-02-12,84.6,55.63,0,F1ADFQ90QPH8,1,7
SHIP-000106,ORD-000108,DHL,2023-02-12,89.55,58.35,0,1GZFZ7YHTD6O,7,3
SHIP-000107,ORD-000109,DHL,2023-02-13,8.28,13.65,0,G5B0L8O9ICS9,5,8
SHIP-000108,ORD-000110,DHL,2023-02-13,45.15,33.93,1,P3NQ6FXYPAYD,6,1
SHIP-000109,ORD-000111,FedEx,2023-02-13,80.56,44.75,0,G6IBW9I5F1B3,7,7
SHIP-000110,ORD-000112,Amazon Logistics,2023-02-14,38.6,14.15,0,OLXL0GF8E59J,6,4
SHIP-000111,ORD-000113,UPS,2023-02-14,23.37,17.15,0,8SPCTATC9S8Q,3,2
SHIP-000112,ORD-000114,UPS,2023-02-14,93.17,45.07,0,1PU7XNM3EDEP,6,6
SHIP-000113,ORD-000115,USPS,2023-02-15,121.28,41.58,0,A8F8BOR2KEG7,7,3
SHIP-000114,ORD-000116,Amazon Logistics,2023-02-15,319.61,84.4,0,LOFOLANGXCD2,8,6
SHIP-000115,ORD-000117,UPS,2023-02-15,61.32,32.33,1,VRSVH4G2J53M,1,2
SHIP-000116,ORD-000118,DHL,2023-02-15,51.91,37.65,0,RYE7PDJNL72P,6,4
SHIP-000117,ORD-000119,UPS,2023-02-15,21.4,16.36,0,F4261BYD9DTD,8,2
SHIP-000118,ORD-000120,DHL,2023-02-16,343.66,198.11,0,TB4V8JQ2KX7X,2,3
SHIP-000119,ORD-000121,USPS,2023-02-16,199.42,65.03,0,SR7I0SAS3VA4,1,9
SHIP-000120,ORD-000122,UPS,2023-02-16,280.16,119.86,1,AHZA9T0Z6M9Z,6,9
SHIP-000121,ORD-000123,DHL,2023-02-18,149.39,91.26,0,X3VBGDICOOKA,3,2
SHIP-000122,ORD-000124,Amazon Logistics,2023-02-19,300.67,79.67,0,8KPQPJSFY0U5,7,3
SHIP-000123,ORD-000125,FedEx,2023-02-19,208.51,102.33,1,3JSU4VYLCGAU,1,4
SHIP-000124,ORD-000126,DHL,2023-02-20,156.46,95.15,0,0JPPYR6EPM47,2,4
SHIP-000125,ORD-000127,Amazon Logistics,2023-02-20,72.88,22.72,1,9W4K7U1KDJBN,6,4
SHIP-000126,ORD-000128,DHL,2023-02-22,665.15,374.93,0,EEIQFJ097NDG,2,4
SHIP-000127,ORD-000129,Amazon Logistics,2023-02-23,137.2,38.8,0,U37NJTE0Y4HI,1,9
SHIP-000128,ORD-000130,Amazon Logistics,2023-02-23,157.85,43.96,0,J3KFXSMTSVAW,6,7
SHIP-000129,ORD-000131,USPS,2023-02-25,140.22,47.27,0,GXV38PFITCGM,5,2
SHIP-000130,ORD-000132,Amazon Logistics,2023-02-25,385.06,100.77,0,WV1MM9432B62,3,9
SHIP-000131,ORD-000133,Amazon Logistics,2023-02-25,144.23,40.56,1,4RYAEK5A0XUJ,4,6
SHIP-000132,ORD-000134,USPS,2023-02-25,219.24,70.97,0,J94KIC0GIZ3P,7,8
SHIP-000133,ORD-000135,UPS,2023-02-25,48.67,27.27,0,W5PR0QXEB7C5,5,1
SHIP-000134,ORD-000136,UPS,2023-02-25,257.01,110.6,0,SIQUO2XQZ21X,4,5
SHIP-000135,ORD-000137,UPS,2023-02-25,489.8,203.72,1,LV7EJM1R1QJQ,6,1
SHIP-000136,ORD-000138,UPS,2023-02-25,21.4,16.36,0,D2SMD7KL9INT,7,9
SHIP-000137,ORD-000140,USPS,2023-02-25,307.72,97.52,0,35G212KLYYVU,6,9
SHIP-000138,ORD-000141,USPS,2023-02-25,78.11,28.63,0,L1CNZ0IVSIXB,6,5
SHIP-000139,ORD-000142,DHL,2023-02-25,139.05,85.58,0,4ZZR8O9XS2S1,7,4
SHIP-000140,ORD-000143,UPS,2023-02-27,13.31,13.12,0,0CIUWKW9VZCZ,6,8
SHIP-000141,ORD-000144,FedEx,2023-02-27,89.12,48.6,0,8LWDKHRPOH6V,6,5
SHIP-000142,ORD-000145,DHL,2023-02-27,148.03,90.52,0,UWRQDRWF5EBZ,2,1
SHIP-000143,ORD-000146,Amazon Logistics,2023-02-27,73.2,22.8,0,DJSOOCGDRVD5,1,10
SHIP-000144,ORD-000147,UPS,2023-02-27,210.43,91.97,0,QW29ASAJ7SRG,3,3
SHIP-000145,ORD-000148,UPS,2023-02-28,138.4,63.16,0,YX5ZVOMXW3HB,6,2
SHIP-000146,ORD-000149,DHL,2023-02-28,31.97,26.68,0,VFLGH6H7L8QY,8,8
SHIP-000147,ORD-000151,FedEx,2023-02-28,202.8,99.76,0,JZ3N3M4LHCKX,8,10
SHIP-000148,ORD-000152,UPS,2023-03-01,132.28,60.71,1,A6C6W5B2DXUB,5,7
SHIP-000149,ORD-000153,USPS,2023-03-01,213.92,69.38,0,ZO13JF46DE7K,4,6
SHIP-000150,ORD-000154,FedEx,2023-03-01,97.98,52.59,0,S320HMH74UZ5,6,9
SHIP-000151,ORD-000155,DHL,2023-03-01,242.97,142.73,0,0NH0RUDBRSIV,8,7
SHIP-000152,ORD-000156,USPS,2023-03-01,146.13,49.04,0,008CYDVXVXYI,7,3
SHIP-000153,ORD-000157,Amazon Logistics,2023-03-02,42.62,15.15,0,6MZJU1UCVM5O,1,1
SHIP-000154,ORD-000158,DHL,2023-03-02,103.44,65.99,0,HF72BYNCS583,1,5
SHIP-000155,ORD-000159,DHL,2023-03-02,346.14,199.48,0,SD0N515YRWYI,7,6
SHIP-000156,ORD-000160,FedEx,2023-03-02,156.28,78.83,0,RWF2L0OQZMKV,1,8
SHIP-000157,ORD-000161,DHL,2023-03-02,5.49,12.12,1,GVVVVDKT97AX,4,4
SHIP-000158,ORD-000162,DHL,2023-03-02,132.33,81.88,0,3HESH3PFI14K,6,8
SHIP-000159,ORD-000163,USPS,2023-03-02,340.48,107.34,0,Y09SGWN0MODP,6,6
SHIP-000160,ORD-000164,Amazon Logistics,2023-03-02,69.21,21.8,0,FHN5YLRA9PAY,3,9
SHIP-000161,ORD-000165,UPS,2023-03-03,71.55,36.42,0,ZVII8TPWD0G2,7,5
SHIP-000162,ORD-000166,FedEx,2023-03-03,43.44,28.05,0,FSL0JJMBY6I1,2,9
SHIP-000163,ORD-000167,UPS,2023-03-03,5.52,10.01,0,0BT7ROL7MAYT,1,6
SHIP-000164,ORD-000168,UPS,2023-03-03,28.84,19.34,0,DUX63RR8JPVQ,7,7
SHIP-000165,ORD-000169,FedEx,2023-03-03,198.54,97.84,0,NWNL7I3P0OI8,3,3
SHIP-000166,ORD-000170,DHL,2023-03-03,308.89,178.99,0,7P6SWCAHKTWI,6,1
SHIP-000167,ORD-000171,FedEx,2023-03-03,54.84,33.18,0,FVA6AR1AR6UF,2,5
SHIP-000168,ORD-000172,FedEx,2023-03-03,81.03,44.96,0,VQ9OAT0LEUPK,4,7
SHIP-000169,ORD-000173,Amazon Logistics,2023-03-04,13.61,7.9,0,HPTMQK0YMXNE,2,10
SHIP-000170,ORD-000174,USPS,2023-03-04,285.88,90.96,0,8J2VO7IUGRRR,4,8
SHIP-000171,ORD-000175,Amazon Logistics,2023-03-04,38.49,14.12,0,CIJQN6C4W713,8,6
SHIP-000172,ORD-000176,FedEx,2023-03-04,264.08,127.34,0,VY4H03B27LAK,2,8
SHIP-000173,ORD-000177,USPS,2023-03-04,70.38,26.31,0,LNB0CIKGO40Q,3,4
SHIP-000174,ORD-000178,Amazon Logistics,2023-03-04,17.57,8.89,0,I5B9OIN25N8L,1,10
SHIP-000175,ORD-000179,FedEx,2023-03-05,97.5,52.38,0,3S0EOARRWWS4,3,8
SHIP-000176,ORD-000180,Amazon Logistics,2023-03-05,590.83,152.21,0,Q7IVQHXSIPNA,8,10
SHIP-000177,ORD-000181,DHL,2023-03-05,116.33,73.08,0,SLMA5BXJNBZV,3,10
SHIP-000178,ORD-000182,DHL,2023-03-05,42.62,32.54,0,080YAPIG8OFS,6,5
SHIP-000179,ORD-000183,USPS,2023-03-05,122.08,41.82,0,AWY0PEQLV488,8,3
SHIP-000180,ORD-000184,DHL,2023-03-05,39.0,30.55,0,WTZV4TY9YKRZ,4,9
SHIP-000181,ORD-000185,UPS,2023-03-05,45.48,25.99,0,N0MWFS58BQZA,2,4
SHIP-000182,ORD-000186,Amazon Logistics,2023-03-06,136.17,38.54,0,OOG2TLTT23G5,6,4
SHIP-000183,ORD-000187,FedEx,2023-03-06,384.02,181.31,0,5UFK8ULIDI5P,4,10
SHIP-000184,ORD-000188,DHL,2023-03-06,36.6,29.23,1,8NHOJ7H4217P,3,4
SHIP-000185,ORD-000189,FedEx,2023-03-06,30.56,22.25,0,PYBOR9MM201L,2,1
SHIP-000186,ORD-000190,USPS,2023-03-07,168.84,55.85,0,0W5RXMABL30X,2,1
SHIP-000187,ORD-000191,Amazon Logistics,2023-03-07,231.24,62.31,0,63TFMS12WBAK,2,1
SHIP-000188,ORD-000192,FedEx,2023-03-07,122.49,63.62,0,DCQ81UENSE13,2,6
SHIP-000189,ORD-000194,USPS,2023-03-07,144.57,48.57,0,W8DXAJXMB5LT,1,9
SHIP-000190,ORD-000195,DHL,2023-03-07,212.32,125.88,0,ERO6WBXL2WLX,1,4
SHIP-000191,ORD-000196,USPS,2023-03-08,304.62,96.59,0,OUOR5KLS0RSH,6,2
SHIP-000192,ORD-000197,DHL,2023-03-08,62.37,43.4,0,15YJX5W3OZYB,1,1
SHIP-000193,ORD-000198,Amazon Logistics,2023-03-08,410.22,107.06,0,H6ZAZ505T0RF,6,2
SHIP-000194,ORD-000199,UPS,2023-03-08,174.58,77.63,0,YN0BU8HRAV85,7,9
SHIP-000195,ORD-000200,FedEx,2023-03-08,27.33,20.8,0,D6IWKVYTNDJJ,7,7
SHIP-000196,ORD-000201,DHL,2023-03-08,158.3,96.17,0,NIFMPEOSO1F1,6,8
SHIP-000197,ORD-000202,Amazon Logistics,2023-03-08,129.72,36.93,0,W7RNTWXWQQIH,6,8
SHIP-000198,ORD-000203,DHL,2023-03-09,41.4,31.87,1,P6G73J6JDPBJ,2,6
SHIP-000199,ORD-000204,DHL,2023-03-09,110.96,70.13,0,J8YSWV20K9JX,2,4
SHIP-000200,ORD-000205,DHL,2023-03-09,105.12,66.92,0,3UJS3EV33PV7,3,5
SHIP-000201,ORD-000206,Amazon Logistics,2023-03-10,341.58,89.9,0,3YA2KYLJ1J2P,2,4
SHIP-000202,ORD-000207,UPS,2023-03-10,297.99,127.0,0,KLMDH3PFDT75,6,6
SHIP-000203,ORD-000208,UPS,2023-03-11,97.6,46.84,1,AYJE8NFRAOTW,5,9
SHIP-000204,ORD-000209,USPS,2023-03-11,89.53,32.06,0,ZPQFGLYGWR70,4,3
SHIP-000205,ORD-000210,FedEx,2023-03-11,26.6,20.47,0,FIFOQ6PK5MSS,2,10
SHIP-000206,ORD-000211,FedEx,2023-03-11,101.84,54.33,0,KN8XQKY9KVGC,7,8
SHIP-000207,ORD-000212,UPS,2023-03-11,137.13,62.65,0,5F505OJ38AYI,7,8
SHIP-000208,ORD-000213,DHL,2023-03-12,131.91,81.65,0,HGGO6ZHDQAIB,4,9
SHIP-000209,ORD-000214,UPS,2023-03-12,101.06,48.22,0,HHX2X5DAOK3F,7,3
SHIP-000210,ORD-000215,DHL,2023-03-12,288.91,168.0,0,55HTY6XNGDJ5,4,10
SHIP-000211,ORD-000216,USPS,2023-03-13,55.2,21.76,0,6MI34UDY1APG,7,6
SHIP-000212,ORD-000217,DHL,2023-03-13,318.41,184.23,1,O8O9GF5RXE78,2,9
SHIP-000213,ORD-000218,UPS,2023-03-13,212.28,92.71,0,F8PX71M8ECKC,8,10
SHIP-000214,ORD-000219,USPS,2023-03-13,73.99,27.4,0,RXOZ5CUWXG8T,7,6
SHIP-000215,ORD-000220,FedEx,2023-03-13,211.3,103.59,1,TPDO7YFKPI9B,8,2
SHIP-000216,ORD-000221,DHL,2023-03-13,169.3,102.22,0,1UHA6F6M2XG2,8,1
SHIP-000217,ORD-000222,UPS,2023-03-13,87.6,42.84,0,97RSLXWZ4WCG,4,9
SHIP-000218,ORD-000223,USPS,2023-03-14,4.05,6.42,1,LGV3GUYG1JEV,4,9
SHIP-000219,ORD-000224,USPS,2023-03-14,202.43,65.93,0,4K1NIDT2MJTC,3,5
SHIP-000220,ORD-000225,DHL,2023-03-15,211.75,125.56,0,HOVSRM9XXK7T,8,6
SHIP-000221,ORD-000226,Amazon Logistics,2023-03-15,25.1,10.77,1,5RQBU0E2D521,1,5
SHIP-000222,ORD-000227,USPS,2023-03-15,137.35,46.41,0,I3NPPABLB5Y9,4,6
SHIP-000223,ORD-000228,Amazon Logistics,2023-03-15,97.83,28.96,0,4P93NYH90EN4,4,4
SHIP-000224,ORD-000229,USPS,2023-03-15,217.92,70.58,1,DBTFDCDQVUL7,5,1
SHIP-000225,ORD-000230,USPS,2023-03-15,99.22,34.97,0,DXUBC6A41L12,4,6
SHIP-000226,ORD-000231,USPS,2023-03-15,74.67,27.6,0,PIVD2IGDXBZ3,7,8
SHIP-000227,ORD-000232,FedEx,2023-03-16,24.4,19.48,0,BO0AKGG5PKXU,6,8
SHIP-000228,ORD-000233,UPS,2023-03-16,95.46,45.98,1,MFZ5WW4YYMOE,8,9
SHIP-000229,ORD-000234,USPS,2023-03-16,202.29,65.89,0,67VZO05D8L8D,5,3
SHIP-000230,ORD-000235,Amazon Logistics,2023-03-16,86.12,26.03,0,EK3LNKOH67P7,8,5
SHIP-000231,ORD-000236,FedEx,2023-03-16,118.62,61.88,1,6AOVL7XTR3GA,2,2
SHIP-000232,ORD-000237,FedEx,2023-03-16,281.91,135.36,0,O6QNH5EYQT4X,2,8
SHIP-000233,ORD-000238,DHL,2023-03-16,429.16,245.14,0,78QN8PACC1X0,6,5
SHIP-000234,ORD-000239,USPS,2023-03-16,90.3,32.29,0,20Z5T84CPKJY,5,2
SHIP-000235,ORD-000240,USPS,2023-03-17,80.73,29.42,0,J9LKOPJ1FI4X,5,3
SHIP-000236,ORD-000241,UPS,2023-03-17,87.27,42.71,0,2PSOI373DZWI,7,7
SHIP-000237,ORD-000242,DHL,2023-03-18,129.18,80.15,0,C1KJG7DP5ULP,6,5
SHIP-000238,ORD-000243,Amazon Logistics,2023-03-18,115.36,33.34,1,YH97DIYX02W1,1,8
SHIP-000239,ORD-000244,UPS,2023-03-18,12.42,12.77,0,4BRP40QNE2S9,5,2
SHIP-000240,ORD-000245,Amazon Logistics,2023-03-18,151.9,42.47,0,L4KKLRIZNXXV,4,7
SHIP-000241,ORD-000246,UPS,2023-03-19,430.19,179.88,0,RDP1F84C3Z2L,5,1
SHIP-000242,ORD-000248,FedEx,2023-03-19,213.56,104.6,0,HA6ELOUQX0MU,6,6
SHIP-000243,ORD-000249,DHL,2023-03-19,184.8,110.74,1,M7FCJ0OSOH5V,3,5
SHIP-000244,ORD-000250,Amazon Logistics,2023-03-20,13.67,7.92,1,7DV5BY0632GR,1,9
SHIP-000245,ORD-000251,Amazon Logistics,2023-03-20,12.15,7.54,0,90BSH1FYE7LF,3,3
SHIP-000246,ORD-000252,FedEx,2023-03-20,141.32,72.09,0,8GORM3ZH476E,3,8
SHIP-000247,ORD-000253,FedEx,2023-03-20,386.05,182.22,0,8JG2RZGHXIRJ,2,5
SHIP-000248,ORD-000254,DHL,2023-03-20,399.42,228.78,0,AJBV6JNSCZKM,6,10
SHIP-000249,ORD-000255,UPS,2023-03-20,49.02,27.41,1,82I5X65UM4YR,4,7
SHIP-000250,ORD-000256,Amazon Logistics,2023-03-20,55.2,18.3,0,2RQMFSWPY6EF,4,6
SHIP-000251,ORD-000257,DHL,2023-03-20,74.43,50.04,1,XWIHDRG8YGJ9,5,9
SHIP-000252,ORD-000258,UPS,2023-03-20,121.39,56.36,0,3Z5GF0G46U2S,6,8
SHIP-000253,ORD-000259,DHL,2023-03-20,151.5,92.42,1,11UH3DR99UPS,8,10
SHIP-000254,ORD-000260,USPS,2023-03-20,15.52,9.86,0,I9P8TFXSW3HC,2,10
SHIP-000255,ORD-000261,UPS,2023-03-20,90.12,43.85,0,74KZT22THW9P,4,9
SHIP-000256,ORD-000262,UPS,2023-03-20,46.72,26.49,1,IHCJJG4LB45A,6,4
SHIP-000257,ORD-000263,DHL,2023-03-20,148.85,90.97,0,L7S47TDESY3U,4,9
SHIP-000258,ORD-000264,USPS,2023-03-21,5.18,6.75,0,C70TRVTFMRMQ,6,7
