order_id,customer_id,order_date,due_date,payment_date,status,carrier,shipping_cost,total_weight_lbs,subtotal,taxable_amount,tax_rate,sales_tax,invoice_total,state,payment_terms
ORD-000022,CUST-00070,2023-01-10,2023-01-10,2023-02-18,Paid,USPS,81.83,255.44,2611.64,2611.64,0.06,156.7,2850.17,PA,Due on Receipt
ORD-000023,CUST-00082,2023-01-10,2023-01-10,2023-02-13,Paid,FedEx,32.71,53.8,930.36,930.36,0.0685,63.73,1026.8,NV,Due on Receipt
ORD-000024,CUST-00446,2023-01-10,2023-01-10,2023-01-27,Paid,Amazon Logistics,21.92,69.69,2825.36,2825.36,0.065,183.65,3030.93,WA,Due on Receipt
ORD-000025,CUST-00188,2023-01-10,2023-01-10,2023-01-16,Paid,UPS,60.44,131.6,1190.98,1190.98,0.07,83.37,1334.79,MS,Due on Receipt
ORD-000026,CUST-00103,2023-01-11,2023-01-11,2023-01-22,Paid,USPS,96.85,305.51,4774.86,4774.86,0.045,214.87,5086.58,OK,Due on Receipt
ORD-000027,CUST-00151,2023-01-11,2023-01-11,2023-02-10,Paid,Amazon Logistics,17.84,53.35,1255.1,1255.1,0.06,75.31,1348.25,IA,Due on Receipt
ORD-000028,CUST-00217,2023-01-11,2023-01-11,2023-02-18,Paid,USPS,34.9,99.01,1276.64,1276.64,0.0475,60.64,1372.18,NC,Due on Receipt
ORD-000029,CUST-00127,2023-01-11,2023-01-11,2023-02-01,Paid,UPS,10.8,7.49,224.66,224.66,0.04,8.99,244.45,WY,Due on Receipt
ORD-000030,CUST-00327,2023-01-11,2023-01-11,2023-02-16,Paid,Amazon Logistics,17.61,52.43,1572.62,1572.62,0.0725,114.01,1704.24,CA,Due on Receipt
ORD-000031,CUST-00028,2023-01-11,2023-02-10,2023-02-01,Paid,FedEx,116.0,238.89,2785.67,2785.67,0.0625,174.1,3075.77,MA,Net 30
ORD-000032,CUST-00380,2023-01-11,2023-01-11,,Overdue,Amazon Logistics,21.14,66.55,1288.7,1288.7,0.06,77.32,1387.16,VT,Due on Receipt
ORD-000033,CUST-00268,2023-01-12,2023-01-12,2023-01-21,Paid,USPS,56.51,171.04,1768.4,1531.26,0.04,61.25,1886.16,GA,Due on Receipt
ORD-000034,CUST-00118,2023-01-12,2023-01-12,2023-01-19,Paid,DHL,28.21,34.74,844.74,844.74,0.066,55.75,928.7,NJ,Due on Receipt
ORD-000035,CUST-00436,2023-01-12,2023-01-12,2023-02-03,Paid,Amazon Logistics,22.9,73.6,5586.04,5586.04,0.0,0.0,5608.94,AK,Due on Receipt
ORD-000036,CUST-00021,2023-01-12,2023-01-12,2023-01-16,Paid,FedEx,174.94,369.86,3956.14,3956.14,0.0475,187.92,4319.0,NC,Due on Receipt
ORD-000037,CUST-00027,2023-01-13,2023-02-12,2023-01-27,Paid,Amazon Logistics,63.18,234.71,3313.39,3313.39,0.06,198.8,3575.37,DC,Net 30
ORD-000038,CUST-00171,2023-01-13,2023-01-13,2023-01-17,Paid,DHL,110.42,184.22,1226.96,1226.96,0.0575,70.55,1407.93,OH,Due on Receipt
ORD-000039,CUST-00187,2023-01-13,2023-02-12,2023-01-16,Paid,Amazon Logistics,68.8,257.2,4603.68,4603.68,0.06,276.22,4948.7,DC,Net 30
ORD-000040,CUST-00036,2023-01-13,2023-01-13,2023-01-22,Paid,FedEx,22.95,32.1,567.63,567.63,0.065,36.9,627.48,AR,Due on Receipt
ORD-000041,CUST-00435,2023-01-13,2023-01-13,2023-01-15,Paid,Amazon Logistics,46.53,168.14,1745.59,1745.59,0.0,0.0,1792.12,AK,Due on Receipt
ORD-000042,CUST-00396,2023-01-13,2023-01-13,2023-01-18,Paid,Amazon Logistics,41.78,149.14,1341.21,1341.21,0.06,80.47,1463.46,PA,Due on Receipt
ORD-000043,CUST-00162,2023-01-14,2023-01-14,2023-02-21,Paid,FedEx,20.97,27.72,60.52,60.52,0.0,0.0,81.49,OR,Due on Receipt
ORD-000044,CUST-00111,2023-01-14,2023-01-14,2023-01-25,Paid,DHL,207.44,360.62,7101.36,7101.36,0.06,426.08,7734.88,IA,Due on Receipt
ORD-000045,CUST-00015,2023-01-14,2023-01-14,2023-02-01,Paid,DHL,130.79,221.25,3275.05,3275.05,0.053,173.58,3579.42,VA,Due on Receipt
ORD-000046,CUST-00185,2023-01-16,2023-01-16,2023-02-24,Paid,Amazon Logistics,29.4,99.6,1076.84,1076.84,0.0635,68.38,1174.62,CT,Due on Receipt
ORD-000047,CUST-00290,2023-01-17,2023-01-17,2023-02-12,Paid,USPS,40.26,116.85,1149.05,1149.05,0.04,45.96,1235.27,GA,Due on Receipt
ORD-000048,CUST-00462,2023-01-17,2023-01-17,2023-02-28,Paid,FedEx,140.1,292.44,2829.74,2829.74,0.06,169.78,3139.62,PA,Due on Receipt
ORD-000049,CUST-00349,2023-01-18,2023-01-18,2023-01-21,Paid,Amazon Logistics,7.53,12.12,800.0,800.0,0.06,48.0,855.53,PA,Due on Receipt
ORD-000050,CUST-00088,2023-01-18,2023-01-18,2023-02-07,Paid,DHL,151.07,258.12,2237.26,2237.26,0.04,89.49,2477.82,NY,Due on Receipt
ORD-000051,CUST-00292,2023-01-18,2023-01-18,,Overdue,UPS,101.24,233.61,3360.93,3360.93,0.04,134.44,3596.61,AL,Due on Receipt
ORD-000052,CUST-00257,2023-01-19,2023-01-19,2023-02-08,Paid,UPS,94.44,216.6,2201.41,2201.41,0.029,63.84,2359.69,CO,Due on Receipt
ORD-000053,CUST-00222,2023-01-20,2023-01-20,2023-02-03,Paid,FedEx,75.84,149.64,2034.78,2034.78,0.0575,117.0,2227.62,OH,Due on Receipt
ORD-000054,CUST-00384,2023-01-20,2023-01-20,,Pending,DHL,43.98,63.42,573.48,573.48,0.06,34.41,651.87,FL,Due on Receipt
ORD-000055,CUST-00125,2023-01-20,2023-01-20,,Cancelled,DHL,58.18,89.24,1014.87,1014.87,0.04,40.59,1113.64,NY,Due on Receipt
ORD-000056,CUST-00415,2023-01-22,2023-01-22,2023-01-27,Paid,DHL,34.8,46.72,1003.28,1003.28,0.06,60.2,1098.28,PA,Due on Receipt
ORD-000057,CUST-00454,2023-01-22,2023-01-22,2023-03-03,Paid,Amazon Logistics,5.14,2.55,383.39,0.0,0.04,0.0,388.53,HI,Due on Receipt
ORD-000058,CUST-00088,2023-01-23,2023-01-23,,Overdue,FedEx,107.51,220.03,6783.33,6783.33,0.04,271.33,7162.17,NY,Due on Receipt
ORD-000059,CUST-00022,2023-01-24,2023-01-24,,Pending,Amazon Logistics,12.99,33.96,98.16,98.16,0.04,3.93,115.08,AL,Due on Receipt
ORD-000060,CUST-00366,2023-01-24,2023-02-23,2023-02-13,Paid,UPS,134.32,316.29,4663.45,4663.45,0.04,186.54,4984.31,GA,Net 30
ORD-000061,CUST-00239,2023-01-24,2023-01-24,,Overdue,FedEx,34.6,58.0,998.75,998.75,0.0725,72.41,1105.76,CA,Due on Receipt
ORD-000062,CUST-00358,2023-01-25,2023-01-25,,Pending,DHL,143.02,243.49,2139.58,2003.94,0.065,130.26,2412.86,WA,Due on Receipt
ORD-000063,CUST-00051,2023-01-25,2023-01-25,2023-02-24,Paid,UPS,18.46,26.64,1941.68,1941.68,0.055,106.79,2066.93,NE,Due on Receipt
ORD-000064,CUST-00437,2023-01-26,2023-01-26,2023-03-12,Paid,Amazon Logistics,7.7,12.79,136.15,136.15,0.04,5.45,149.3,NY,Due on Receipt
ORD-000065,CUST-00140,2023-01-27,2023-01-27,2023-02-22,Paid,Amazon Logistics,18.0,54.01,2010.78,2010.78,0.06,120.65,2149.43,PA,Due on Receipt
ORD-000066,CUST-00268,2023-01-28,2023-01-28,2023-02-09,Paid,DHL,158.9,272.36,3819.97,3819.97,0.04,152.8,4131.67,GA,Due on Receipt
ORD-000067,CUST-00200,2023-01-28,2023-01-28,2023-02-15,Paid,FedEx,24.95,36.56,181.12,181.12,0.06,10.87,216.94,IA,Due on Receipt
ORD-000068,CUST-00235,2023-01-29,2023-01-29,2023-01-31,Paid,USPS,6.31,3.7,1458.25,1458.25,0.04,58.33,1522.89,NY,Due on Receipt
ORD-000069,CUST-00439,2023-01-30,2023-01-30,,Pending,USPS,16.31,37.04,210.88,210.88,0.065,13.71,240.9,WA,Due on Receipt
ORD-000070,CUST-00063,2023-01-30,2023-01-30,,Cancelled,FedEx,85.67,171.5,2570.0,2570.0,0.065,167.05,2822.72,WA,Due on Receipt
ORD-000071,CUST-00099,2023-01-30,2023-01-30,2023-02-23,Paid,DHL,79.81,128.56,2935.58,2935.58,0.065,190.81,3206.2,WA,Due on Receipt
ORD-000072,CUST-00090,2023-01-31,2023-01-31,2023-02-11,Paid,FedEx,74.73,147.18,5852.64,5852.64,0.06,351.16,6278.53,FL,Due on Receipt
ORD-000073,CUST-00096,2023-02-02,2023-02-02,2023-03-09,Paid,USPS,46.13,136.44,1680.12,1680.12,0.0635,106.69,1832.94,CT,Due on Receipt
ORD-000074,CUST-00149,2023-02-02,2023-02-02,2023-03-12,Paid,UPS,74.68,167.21,2682.04,2682.04,0.0,0.0,2756.72,DE,Due on Receipt
ORD-000075,CUST-00194,2023-02-03,2023-04-04,2023-02-27,Paid,DHL,339.84,601.34,6836.3,6836.3,0.06,410.18,7586.32,KY,Net 60
ORD-000076,CUST-00245,2023-02-03,2023-03-05,2023-02-25,Paid,DHL,20.09,19.98,1456.26,1456.26,0.065,94.66,1571.01,WA,Net 30
ORD-000077,CUST-00302,2023-02-03,2023-02-03,2023-02-06,Paid,USPS,58.53,177.78,2485.74,2485.74,0.045,111.86,2656.13,SD,Due on Receipt
ORD-000078,CUST-00040,2023-02-04,2023-02-04,2023-03-17,Paid,USPS,58.81,178.7,7842.95,7842.95,0.0,0.0,7901.76,NH,Due on Receipt
ORD-000079,CUST-00291,2023-02-05,2023-03-07,,Overdue,UPS,30.46,56.66,3821.22,3821.22,0.0625,238.83,4090.51,MA,Net 30
ORD-000080,CUST-00397,2023-02-05,2023-02-05,2023-02-12,Paid,FedEx,200.3,426.23,5880.97,5880.97,0.06,352.86,6434.13,MD,Due on Receipt
ORD-000081,CUST-00079,2023-02-05,2023-02-05,2023-02-13,Paid,Amazon Logistics,73.77,277.08,4638.39,4638.39,0.0475,220.32,4932.48,NC,Due on Receipt
ORD-000082,CUST-00064,2023-02-05,2023-02-05,2023-03-20,Paid,USPS,104.39,330.65,3879.98,2659.22,0.04,106.37,4090.74,HI,Due on Receipt
ORD-000083,CUST-00103,2023-02-06,2023-02-06,2023-03-23,Paid,DHL,70.35,111.37,570.99,570.99,0.045,25.69,667.03,OK,Due on Receipt
ORD-000084,CUST-00325,2023-02-06,2023-02-06,2023-02-07,Paid,FedEx,35.19,59.32,1607.79,250.23,0.0625,15.64,1658.62,IL,Due on Receipt
ORD-000085,CUST-00152,2023-02-07,2023-02-07,2023-02-23,Paid,Amazon Logistics,37.8,133.21,849.89,849.89,0.04,34.0,921.69,GA,Due on Receipt
ORD-000086,CUST-00467,2023-02-08,2023-02-08,2023-02-21,Paid,DHL,30.33,38.6,168.72,168.72,0.06875,11.6,210.65,MN,Due on Receipt
ORD-000087,CUST-00404,2023-02-08,2023-02-08,2023-02-20,Paid,FedEx,51.74,96.08,997.48,997.48,0.0625,62.34,1111.56,IL,Due on Receipt
ORD-000088,CUST-00380,2023-02-08,2023-02-08,2023-03-03,Paid,FedEx,78.3,155.11,391.83,391.83,0.06,23.51,493.64,VT,Due on Receipt
ORD-000089,CUST-00199,2023-02-08,2023-04-09,2023-03-04,Paid,DHL,102.46,169.74,2600.58,2600.58,0.0625,162.54,2865.58,IL,Net 60
ORD-000090,CUST-00367,2023-02-08,2023-02-08,2023-03-18,Paid,UPS,118.43,276.58,2244.92,2244.92,0.04225,94.85,2458.2,MO,Due on Receipt
ORD-000091,CUST-00488,2023-02-09,2023-02-09,2023-03-26,Paid,FedEx,172.53,364.5,6974.85,6974.85,0.0625,435.93,7583.31,TX,Due on Receipt
ORD-000092,CUST-00302,2023-02-09,2023-02-09,,Overdue,DHL,124.78,210.33,2068.29,2068.29,0.045,93.07,2286.14,SD,Due on Receipt
ORD-000093,CUST-00108,2023-02-09,2023-04-10,2023-02-11,Paid,FedEx,122.35,253.0,2562.16,2562.16,0.06,153.73,2838.24,WV,Net 60
ORD-000094,CUST-00431,2023-02-10,2023-02-10,2023-02-27,Paid,DHL,60.95,94.28,1457.7,1457.7,0.06,87.46,1606.11,FL,Due on Receipt
ORD-000095,CUST-00414,2023-02-10,2023-04-11,2023-03-12,Paid,Amazon Logistics,5.78,5.1,766.78,0.0,0.0725,0.0,772.56,CA,Net 60
ORD-000096,CUST-00308,2023-02-10,2023-02-10,2023-02-13,Paid,DHL,86.19,140.16,509.84,509.84,0.04225,21.54,617.57,MO,Due on Receipt
ORD-000097,CUST-00445,2023-02-10,2023-02-10,2023-03-09,Paid,USPS,72.95,225.82,5833.2,5833.2,0.045,262.49,6168.64,OK,Due on Receipt
ORD-000098,CUST-00488,2023-02-11,2023-02-11,2023-03-16,Paid,FedEx,19.72,24.94,339.13,339.13,0.0625,21.2,380.05,TX,Due on Receipt
ORD-000099,CUST-00247,2023-02-11,2023-02-11,2023-03-28,Paid,DHL,17.49,15.25,912.3,912.3,0.06,54.74,984.53,KY,Due on Receipt
ORD-000100,CUST-00271,2023-02-11,2023-02-11,2023-03-28,Paid,Amazon Logistics,56.49,207.97,4240.52,4240.52,0.04,169.62,4466.63,AL,Due on Receipt
ORD-000101,CUST-00004,2023-02-11,2023-02-11,2023-03-22,Paid,Amazon Logistics,40.36,143.45,2438.56,2438.56,0.06,146.31,2625.23,MI,Due on Receipt
ORD-000102,CUST-00389,2023-02-11,2023-02-11,2023-03-14,Paid,USPS,17.54,41.12,738.1,738.1,0.06,44.29,799.93,ID,Due on Receipt
ORD-000103,CUST-00334,2023-02-11,2023-04-12,2023-03-08,Paid,DHL,24.66,28.29,804.84,804.84,0.07,56.34,885.84,IN,Net 60
ORD-000104,CUST-00171,2023-02-12,2023-02-12,2023-03-16,Paid,FedEx,70.6,138.0,4558.9,4558.9,0.0575,262.14,4891.64,OH,Due on Receipt
ORD-000105,CUST-00085,2023-02-12,2023-02-12,2023-02-21,Paid,UPS,55.38,118.94,1646.58,1646.58,0.04,65.86,1767.82,NY,Due on Receipt
ORD-000106,CUST-00290,2023-02-12,2023-02-12,2023-03-08,Paid,UPS,177.24,423.61,6408.09,6408.09,0.04,256.32,6841.65,GA,Due on Receipt
ORD-000107,CUST-00500,2023-02-12,2023-02-12,2023-02-19,Paid,DHL,55.63,84.6,5043.09,2742.75,0.0,0.0,5098.72,OR,Due on Receipt
ORD-000108,CUST-00232,2023-02-12,2023-02-12,2023-03-29,Paid,DHL,58.35,89.55,1269.09,1269.09,0.04,50.76,1378.2,NY,Due on Receipt
ORD-000109,CUST-00100,2023-02-13,2023-02-13,2023-03-16,Paid,DHL,13.65,8.28,858.18,858.18,0.0625,53.64,925.47,IL,Due on Receipt
ORD-000110,CUST-00126,2023-02-13,2023-02-13,2023-02-21,Paid,DHL,33.93,45.15,1160.28,1160.28,0.065,75.42,1269.63,KS,Due on Receipt
ORD-000111,CUST-00412,2023-02-13,2023-02-13,2023-03-28,Paid,FedEx,44.75,80.56,3767.0,3767.0,0.05,188.35,4000.1,WI,Due on Receipt
ORD-000112,CUST-00129,2023-02-14,2023-03-16,2023-03-29,Paid,Amazon Logistics,14.15,38.6,168.72,168.72,0.0475,8.01,190.88,NC,Net 30
ORD-000113,CUST-00410,2023-02-14,2023-02-14,2023-03-01,Paid,UPS,17.15,23.37,229.81,229.81,0.056,12.87,259.83,AZ,Due on Receipt
ORD-000114,CUST-00208,2023-02-14,2023-02-14,2023-02-15,Paid,UPS,45.07,93.17,1804.18,1804.18,0.0485,87.5,1936.75,UT,Due on Receipt
ORD-000115,CUST-00488,2023-02-15,2023-02-15,2023-03-25,Paid,USPS,41.58,121.28,3025.25,3025.25,0.0625,189.08,3255.91,TX,Due on Receipt
ORD-000116,CUST-00370,2023-02-15,2023-03-17,2023-03-01,Paid,Amazon Logistics,84.4,319.61,3477.13,3477.13,0.04,139.09,3700.62,WY,Net 30
ORD-000117,CUST-00207,2023-02-15,2023-03-17,2023-02-27,Paid,UPS,32.33,61.32,1377.68,1377.68,0.06,82.66,1492.67,FL,Net 30
ORD-000118,CUST-00343,2023-02-15,2023-02-15,2023-03-30,Paid,DHL,37.65,51.91,123.47,123.47,0.04,4.94,166.06,NY,Due on Receipt
ORD-000119,CUST-00172,2023-02-15,2023-02-15,,Overdue,UPS,16.36,21.4,378.42,378.42,0.0445,16.84,411.62,LA,Due on Receipt
ORD-000120,CUST-00127,2023-02-16,2023-02-16,2023-03-03,Paid,DHL,198.11,343.66,6942.61,5792.44,0.04,231.7,7372.42,WY,Due on Receipt
ORD-000121,CUST-00427,2023-02-16,2023-02-16,2023-02-18,Paid,USPS,65.03,199.42,2498.81,2498.81,0.07,174.92,2738.76,IN,Due on Receipt
ORD-000122,CUST-00221,2023-02-16,2023-02-16,2023-02-25,Paid,UPS,119.86,280.16,5595.56,4510.44,0.0725,327.01,6042.43,CA,Due on Receipt
ORD-000123,CUST-00053,2023-02-18,2023-02-18,2023-03-29,Paid,DHL,91.26,149.39,1374.47,1374.47,0.029,39.86,1505.59,CO,Due on Receipt
ORD-000124,CUST-00429,2023-02-19,2023-02-19,2023-03-18,Paid,Amazon Logistics,79.67,300.67,1481.06,1449.62,0.0625,90.6,1651.33,IL,Due on Receipt
ORD-000125,CUST-00337,2023-02-19,2023-03-21,2023-03-09,Paid,FedEx,102.33,208.51,2527.17,2527.17,0.06,151.63,2781.13,IA,Net 30
ORD-000126,CUST-00122,2023-02-20,2023-02-20,2023-03-27,Paid,DHL,95.15,156.46,1904.77,1904.77,0.0725,138.1,2138.02,CA,Due on Receipt
ORD-000127,CUST-00383,2023-02-20,2023-02-20,2023-03-25,Paid,Amazon Logistics,22.72,72.88,1079.28,1079.28,0.0475,51.27,1153.27,NC,Due on Receipt
ORD-000128,CUST-00462,2023-02-22,2023-02-22,2023-04-06,Paid,DHL,374.93,665.15,7314.92,7000.52,0.06,420.03,8109.88,PA,Due on Receipt
ORD-000129,CUST-00092,2023-02-23,2023-02-23,2023-03-17,Paid,Amazon Logistics,38.8,137.2,2056.0,2056.0,0.0625,128.5,2223.3,TX,Due on Receipt
ORD-000130,CUST-00073,2023-02-23,2023-02-23,2023-03-13,Paid,Amazon Logistics,43.96,157.85,3648.3,3648.3,0.06,218.9,3911.16,PA,Due on Receipt
ORD-000131,CUST-00426,2023-02-25,2023-02-25,2023-03-13,Paid,USPS,47.27,140.22,1378.86,1378.86,0.0475,65.5,1491.63,NC,Due on Receipt
ORD-000132,CUST-00146,2023-02-25,2023-02-25,2023-03-14,Paid,Amazon Logistics,100.77,385.06,6241.24,3557.51,0.06,213.45,6555.46,IA,Due on Receipt
ORD-000133,CUST-00279,2023-02-25,2023-02-25,2023-04-11,Paid,Amazon Logistics,40.56,144.23,1243.76,1243.76,0.04,49.75,1334.07,GA,Due on Receipt
ORD-000134,CUST-00476,2023-02-25,2023-02-25,2023-03-18,Paid,USPS,70.97,219.24,4310.01,4310.01,0.04,172.4,4553.38,GA,Due on Receipt
ORD-000135,CUST-00425,2023-02-25,2023-02-25,2023-03-16,Paid,UPS,27.27,48.67,1081.46,1081.46,0.06,64.89,1173.62,FL,Due on Receipt
ORD-000136,CUST-00352,2023-02-25,2023-02-25,2023-03-21,Paid,UPS,110.6,257.01,4505.39,4505.39,0.04,180.22,4796.21,NY,Due on Receipt
ORD-000137,CUST-00307,2023-02-25,2023-02-25,2023-03-19,Paid,UPS,203.72,489.8,6712.47,6712.47,0.0625,419.53,7335.72,TX,Due on Receipt
ORD-000138,CUST-00064,2023-02-25,2023-02-25,2023-03-22,Paid,UPS,16.36,21.4,378.42,378.42,0.04,15.14,409.92,HI,Due on Receipt
ORD-000139,CUST-00411,2023-02-25,2023-02-25,,Cancelled,Amazon Logistics,15.07,42.28,382.32,382.32,0.04,15.29,412.68,HI,Due on Receipt
ORD-000140,CUST-00464,2023-02-25,2023-02-25,,Pending,USPS,97.52,307.72,1641.74,1641.74,0.065,106.71,1845.97,KS,Due on Receipt
ORD-000141,CUST-00213,2023-02-25,2023-02-25,2023-03-25,Paid,USPS,28.63,78.11,2414.36,2414.36,0.066,159.35,2602.34,NJ,Due on Receipt
ORD-000142,CUST-00314,2023-02-25,2023-02-25,2023-03-05,Paid,DHL,85.58,139.05,2959.16,2959.16,0.04,118.37,3163.11,NY,Due on Receipt
ORD-000143,CUST-00273,2023-02-27,2023-02-27,2023-03-02,Paid,UPS,13.12,13.31,257.74,257.74,0.0625,16.11,286.97,IL,Due on Receipt
ORD-000144,CUST-00034,2023-02-27,2023-03-29,2023-03-06,Paid,FedEx,48.6,89.12,2362.62,665.67,0.0725,48.26,2459.48,CA,Net 30
ORD-000145,CUST-00271,2023-02-27,2023-02-27,2023-03-21,Paid,DHL,90.52,148.03,1553.87,1553.87,0.04,62.15,1706.54,AL,Due on Receipt
ORD-000146,CUST-00012,2023-02-27,2023-04-28,2023-03-14,Paid,Amazon Logistics,22.8,73.2,725.28,725.28,0.04,29.01,777.09,GA,Net 60
ORD-000147,CUST-00151,2023-02-27,2023-02-27,2023-03-22,Paid,UPS,91.97,210.43,4824.94,4824.94,0.06,289.5,5206.41,IA,Due on Receipt
ORD-000148,CUST-00059,2023-02-28,2023-02-28,2023-03-11,Paid,UPS,63.16,138.4,1805.72,1805.72,0.06,108.34,1977.22,FL,Due on Receipt
ORD-000149,CUST-00064,2023-02-28,2023-02-28,2023-04-06,Paid,DHL,26.68,31.97,1279.12,804.84,0.04,32.19,1337.99,HI,Due on Receipt
ORD-000150,CUST-00428,2023-02-28,2023-04-29,,Cancelled,Amazon Logistics,47.56,172.24,2403.2,2403.2,0.04,96.13,2546.89,GA,Net 60
ORD-000151,CUST-00146,2023-02-28,2023-02-28,2023-04-09,Paid,FedEx,99.76,202.8,3072.08,3072.08,0.06,184.32,3356.16,IA,Due on Receipt
ORD-000152,CUST-00299,2023-03-01,2023-03-01,,Overdue,UPS,60.71,132.28,2513.02,2513.02,0.0575,144.5,2718.23,OH,Due on Receipt
ORD-000153,CUST-00343,2023-03-01,2023-03-01,2023-03-08,Paid,USPS,69.38,213.92,5299.2,3941.64,0.04,157.67,5526.25,NY,Due on Receipt
ORD-000154,CUST-00318,2023-03-01,2023-03-01,2023-04-10,Paid,FedEx,52.59,97.98,630.64,630.64,0.06,37.84,721.07,ID,Due on Receipt
ORD-000155,CUST-00252,2023-03-01,2023-03-01,2023-04-04,Paid,DHL,142.73,242.97,5122.37,3225.25,0.065,209.64,5474.74,WA,Due on Receipt
ORD-000156,CUST-00038,2023-03-01,2023-03-01,2023-03-30,Paid,USPS,49.04,146.13,1116.65,1116.65,0.0,0.0,1165.69,DE,Due on Receipt
ORD-000157,CUST-00067,2023-03-02,2023-03-02,2023-04-10,Paid,Amazon Logistics,15.15,42.62,592.86,592.86,0.04,23.71,631.72,GA,Due on Receipt
ORD-000158,CUST-00286,2023-03-02,2023-03-02,2023-03-25,Paid,DHL,65.99,103.44,2611.72,2611.72,0.0575,150.17,2827.88,OH,Due on Receipt
ORD-000159,CUST-00359,2023-03-02,2023-03-02,2023-04-02,Paid,DHL,199.48,346.14,6634.83,6634.83,0.065,431.26,7265.57,KS,Due on Receipt
ORD-000160,CUST-00450,2023-03-02,2023-03-02,2023-03-04,Paid,FedEx,78.83,156.28,740.74,740.74,0.0475,35.19,854.76,NC,Due on Receipt
ORD-000161,CUST-00294,2023-03-02,2023-05-01,2023-04-03,Paid,DHL,12.12,5.49,241.86,241.86,0.07,16.93,270.91,MS,Net 60
ORD-000162,CUST-00422,2023-03-02,2023-05-01,2023-03-17,Paid,DHL,81.88,132.33,3581.37,1281.03,0.0625,80.06,3743.31,IL,Net 60
ORD-000163,CUST-00193,2023-03-02,2023-03-02,2023-04-13,Paid,USPS,107.34,340.48,8091.91,8091.91,0.04,323.68,8522.93,NY,Due on Receipt
