item_id,order_id,product_id,quantity,unit_price,unit_cost,line_total,is_taxable
ITEM-000091,ORD-000051,PRD-0060,8,63.73,29.25,509.84,1
ITEM-000092,ORD-000051,PRD-0054,1,15.13,7.76,15.13,1
ITEM-000093,ORD-000052,PRD-0060,5,63.73,29.25,318.65,1
ITEM-000094,ORD-000052,PRD-0033,4,95.58,62.65,382.32,1
ITEM-000095,ORD-000052,PRD-0064,9,134.91,85.58,1214.19,1
ITEM-000096,ORD-000052,PRD-0020,1,286.25,192.35,286.25,1
ITEM-000097,ORD-000053,PRD-0072,6,339.13,128.08,2034.78,1
ITEM-000098,ORD-000054,PRD-0033,6,95.58,62.65,573.48,1
ITEM-000099,ORD-000055,PRD-0018,3,83.41,46.68,250.23,1
ITEM-000100,ORD-000055,PRD-0033,8,95.58,62.65,764.64,1
ITEM-000101,ORD-000056,PRD-0034,4,250.82,118.1,1003.28,1
ITEM-000102,ORD-000057,PRD-0016,1,383.39,136.31,383.39,0
ITEM-000103,ORD-000058,PRD-0026,1,273.09,111.39,273.09,1
ITEM-000104,ORD-000058,PRD-0043,5,199.75,130.34,998.75,1
ITEM-000105,ORD-000058,PRD-0010,8,485.42,190.99,3883.36,1
ITEM-000106,ORD-000058,PRD-0030,7,232.59,82.94,1628.13,1
ITEM-000107,ORD-000059,PRD-0001,6,16.36,9.88,98.16,1
ITEM-000108,ORD-000060,PRD-0033,6,95.58,62.65,573.48,1
ITEM-000109,ORD-000060,PRD-0044,2,30.25,20.97,60.5,1
ITEM-000110,ORD-000060,PRD-0080,5,386.83,172.73,1934.15,1
ITEM-000111,ORD-000060,PRD-0034,7,250.82,118.1,1755.74,1
ITEM-000112,ORD-000060,PRD-0017,1,339.58,185.04,339.58,1
ITEM-000113,ORD-000061,PRD-0043,5,199.75,130.34,998.75,1
ITEM-000114,ORD-000062,PRD-0002,4,92.63,43.77,370.52,1
ITEM-000115,ORD-000062,PRD-0008,2,136.15,47.77,272.3,1
ITEM-000116,ORD-000062,PRD-0031,1,135.64,66.17,135.64,0
ITEM-000117,ORD-000062,PRD-0035,8,170.14,70.36,1361.12,1
ITEM-000118,ORD-000063,PRD-0010,4,485.42,190.99,1941.68,1
ITEM-000119,ORD-000064,PRD-0008,1,136.15,47.77,136.15,1
ITEM-000120,ORD-000065,PRD-0053,3,241.86,153.63,725.58,1
ITEM-000121,ORD-000065,PRD-0056,4,182.46,64.25,729.84,1
ITEM-000122,ORD-000065,PRD-0038,2,277.68,124.47,555.36,1
ITEM-000123,ORD-000066,PRD-0021,8,229.81,118.82,1838.48,1
ITEM-000124,ORD-000066,PRD-0012,7,283.07,189.66,1981.49,1
ITEM-000125,ORD-000067,PRD-0013,2,90.56,46.3,181.12,1
ITEM-000126,ORD-000068,PRD-0046,5,291.65,193.12,1458.25,1
ITEM-000127,ORD-000069,PRD-0050,8,26.36,10.6,210.88,1
ITEM-000128,ORD-000070,PRD-0006,10,257.0,129.8,2570.0,1
ITEM-000129,ORD-000071,PRD-0072,4,339.13,128.08,1356.52,1
ITEM-000130,ORD-000071,PRD-0037,1,369.76,191.8,369.76,1
ITEM-000131,ORD-000071,PRD-0053,5,241.86,153.63,1209.3,1
ITEM-000132,ORD-000072,PRD-0074,8,281.58,183.0,2252.64,1
ITEM-000133,ORD-000072,PRD-0065,9,400.0,194.76,3600.0,1
ITEM-000134,ORD-000073,PRD-0024,9,186.68,112.88,1680.12,1
ITEM-000135,ORD-000074,PRD-0011,7,257.74,110.18,1804.18,1
ITEM-000136,ORD-000074,PRD-0023,3,292.62,142.19,877.86,1
ITEM-000137,ORD-000075,PRD-0060,5,63.73,29.25,318.65,1
ITEM-000138,ORD-000075,PRD-0030,3,232.59,82.94,697.77,1
ITEM-000139,ORD-000075,PRD-0028,8,254.62,148.63,2036.96,1
ITEM-000140,ORD-000075,PRD-0024,9,186.68,112.88,1680.12,1
ITEM-000141,ORD-000075,PRD-0009,7,300.4,108.18,2102.8,1
ITEM-000142,ORD-000076,PRD-0010,3,485.42,190.99,1456.26,1
ITEM-000143,ORD-000077,PRD-0036,9,202.23,127.8,1820.07,1
ITEM-000144,ORD-000077,PRD-0039,3,221.89,106.65,665.67,1
ITEM-000145,ORD-000078,PRD-0060,3,63.73,29.25,191.19,1
ITEM-000146,ORD-000078,PRD-0046,10,291.65,193.12,2916.5,1
ITEM-000147,ORD-000078,PRD-0052,6,189.21,97.29,1135.26,1
ITEM-000148,ORD-000078,PRD-0065,9,400.0,194.76,3600.0,1
ITEM-000149,ORD-000079,PRD-0003,4,105.82,70.64,423.28,1
ITEM-000150,ORD-000079,PRD-0010,7,485.42,190.99,3397.94,1
ITEM-000151,ORD-000080,PRD-0022,9,269.21,94.37,2422.89,1
ITEM-000152,ORD-000080,PRD-0044,9,30.25,20.97,272.25,1
ITEM-000153,ORD-000080,PRD-0070,1,443.08,174.59,443.08,1
ITEM-000154,ORD-000080,PRD-0029,9,304.75,164.23,2742.75,1
ITEM-000155,ORD-000081,PRD-0014,3,193.27,119.72,579.81,1
ITEM-000156,ORD-000081,PRD-0035,4,170.14,70.36,680.56,1
ITEM-000157,ORD-000081,PRD-0077,6,329.79,160.78,1978.74,1
ITEM-000158,ORD-000081,PRD-0076,8,174.91,62.57,1399.28,1
ITEM-000159,ORD-000082,PRD-0031,9,135.64,66.17,1220.76,0
ITEM-000160,ORD-000082,PRD-0006,7,257.0,129.8,1799.0,1
ITEM-000161,ORD-000082,PRD-0033,9,95.58,62.65,860.22,1
ITEM-000162,ORD-000083,PRD-0062,7,81.57,40.39,570.99,1
ITEM-000163,ORD-000084,PRD-0018,3,83.41,46.68,250.23,1
ITEM-000164,ORD-000084,PRD-0059,4,339.39,187.07,1357.56,0
ITEM-000165,ORD-000085,PRD-0023,2,292.62,142.19,585.24,1
ITEM-000166,ORD-000085,PRD-0045,5,52.93,34.71,264.65,1
ITEM-000167,ORD-000086,PRD-0025,2,84.36,58.95,168.72,1
ITEM-000168,ORD-000087,PRD-0048,4,249.37,165.35,997.48,1
ITEM-000169,ORD-000088,PRD-0041,2,10.66,6.15,21.32,1
ITEM-000170,ORD-000088,PRD-0045,7,52.93,34.71,370.51,1
ITEM-000171,ORD-000089,PRD-0039,6,221.89,106.65,1331.34,1
ITEM-000172,ORD-000089,PRD-0049,7,181.32,99.28,1269.24,1
ITEM-000173,ORD-000090,PRD-0011,8,257.74,110.18,2061.92,1
ITEM-000174,ORD-000090,PRD-0042,10,18.3,10.66,183.0,1
ITEM-000175,ORD-000091,PRD-0048,8,249.37,165.35,1994.96,1
ITEM-000176,ORD-000091,PRD-0014,6,193.27,119.72,1159.62,1
ITEM-000177,ORD-000091,PRD-0024,6,186.68,112.88,1120.08,1
ITEM-000178,ORD-000091,PRD-0026,1,273.09,111.39,273.09,1
ITEM-000179,ORD-000091,PRD-0010,5,485.42,190.99,2427.1,1
ITEM-000180,ORD-000092,PRD-0021,9,229.81,118.82,2068.29,1
ITEM-000181,ORD-000093,PRD-0025,6,84.36,58.95,506.16,1
ITEM-000182,ORD-000093,PRD-0006,8,257.0,129.8,2056.0,1
ITEM-000183,ORD-000094,PRD-0052,2,189.21,97.29,378.42,1
ITEM-000184,ORD-000094,PRD-0064,8,134.91,85.58,1079.28,1
ITEM-000185,ORD-000095,PRD-0016,2,383.39,136.31,766.78,0
ITEM-000186,ORD-000096,PRD-0060,8,63.73,29.25,509.84,1
ITEM-000187,ORD-000097,PRD-0065,8,400.0,194.76,3200.0,1
ITEM-000188,ORD-000097,PRD-0069,4,30.75,13.51,123.0,1
ITEM-000189,ORD-000097,PRD-0075,10,251.02,119.58,2510.2,1
ITEM-000190,ORD-000098,PRD-0072,1,339.13,128.08,339.13,1
ITEM-000191,ORD-000099,PRD-0056,5,182.46,64.25,912.3,1
ITEM-000192,ORD-000100,PRD-0024,1,186.68,112.88,186.68,1
ITEM-000193,ORD-000100,PRD-0073,5,268.28,160.25,1341.4,1
ITEM-000194,ORD-000100,PRD-0030,10,232.59,82.94,2325.9,1
ITEM-000195,ORD-000100,PRD-0014,2,193.27,119.72,386.54,1
ITEM-000196,ORD-000101,PRD-0068,5,66.43,33.98,332.15,1
ITEM-000197,ORD-000101,PRD-0043,3,199.75,130.34,599.25,1
ITEM-000198,ORD-000101,PRD-0037,1,369.76,191.8,369.76,1
ITEM-000199,ORD-000101,PRD-0066,5,227.48,102.18,1137.4,1
ITEM-000200,ORD-000102,PRD-0036,2,202.23,127.8,404.46,1
ITEM-000201,ORD-000102,PRD-0018,4,83.41,46.68,333.64,1
ITEM-000202,ORD-000103,PRD-0073,3,268.28,160.25,804.84,1
ITEM-000203,ORD-000104,PRD-0063,10,455.89,189.31,4558.9,1
ITEM-000204,ORD-000105,PRD-0079,2,447.38,183.13,894.76,1
ITEM-000205,ORD-000105,PRD-0048,2,249.37,165.35,498.74,1
ITEM-000206,ORD-000105,PRD-0025,3,84.36,58.95,253.08,1
ITEM-000207,ORD-000106,PRD-0029,10,304.75,164.23,3047.5,1
ITEM-000208,ORD-000106,PRD-0078,1,119.55,65.24,119.55,1
ITEM-000209,ORD-000106,PRD-0080,8,386.83,172.73,3094.64,1
ITEM-000210,ORD-000106,PRD-0042,8,18.3,10.66,146.4,1
ITEM-000211,ORD-000107,PRD-0016,6,383.39,136.31,2300.34,0
ITEM-000212,ORD-000107,PRD-0029,9,304.75,164.23,2742.75,1
ITEM-000213,ORD-000108,PRD-0007,9,141.01,66.36,1269.09,1
ITEM-000214,ORD-000109,PRD-0055,6,143.03,90.89,858.18,1
ITEM-000215,ORD-000110,PRD-0047,3,386.76,155.63,1160.28,1
ITEM-000216,ORD-000111,PRD-0036,4,202.23,127.8,808.92,1
ITEM-000217,ORD-000111,PRD-0037,8,369.76,191.8,2958.08,1
ITEM-000218,ORD-000112,PRD-0025,2,84.36,58.95,168.72,1
ITEM-000219,ORD-000113,PRD-0021,1,229.81,118.82,229.81,1
ITEM-000220,ORD-000114,PRD-0011,7,257.74,110.18,1804.18,1
ITEM-000221,ORD-000115,PRD-0050,2,26.36,10.6,52.72,1
ITEM-000222,ORD-000115,PRD-0034,9,250.82,118.1,2257.38,1
ITEM-000223,ORD-000115,PRD-0055,5,143.03,90.89,715.15,1
ITEM-000224,ORD-000116,PRD-0030,3,232.59,82.94,697.77,1
ITEM-000225,ORD-000116,PRD-0042,6,18.3,10.66,109.8,1
ITEM-000226,ORD-000116,PRD-0029,4,304.75,164.23,1219.0,1
ITEM-000227,ORD-000116,PRD-0049,8,181.32,99.28,1450.56,1
ITEM-000228,ORD-000117,PRD-0038,4,277.68,124.47,1110.72,1
ITEM-000229,ORD-000117,PRD-0005,2,133.48,76.14,266.96,1
ITEM-000230,ORD-000118,PRD-0001,2,16.36,9.88,32.72,1
ITEM-000231,ORD-000118,PRD-0044,3,30.25,20.97,90.75,1
ITEM-000232,ORD-000119,PRD-0052,2,189.21,97.29,378.42,1
ITEM-000233,ORD-000120,PRD-0006,10,257.0,129.8,2570.0,1
ITEM-000234,ORD-000120,PRD-0016,3,383.39,136.31,1150.17,0
ITEM-000235,ORD-000120,PRD-0026,4,273.09,111.39,1092.36,1
ITEM-000236,ORD-000120,PRD-0058,7,188.66,92.85,1320.62,1
ITEM-000237,ORD-000120,PRD-0064,6,134.91,85.58,809.46,1
ITEM-000238,ORD-000121,PRD-0074,1,281.58,183.0,281.58,1
ITEM-000239,ORD-000121,PRD-0026,6,273.09,111.39,1638.54,1
ITEM-000240,ORD-000121,PRD-0015,7,82.67,30.8,578.69,1
ITEM-000241,ORD-000122,PRD-0065,7,400.0,194.76,2800.0,1
ITEM-000242,ORD-000122,PRD-0031,8,135.64,66.17,1085.12,0
ITEM-000243,ORD-000122,PRD-0033,10,95.58,62.65,955.8,1
ITEM-000244,ORD-000122,PRD-0058,4,188.66,92.85,754.64,1
ITEM-000245,ORD-000123,PRD-0050,7,26.36,10.6,184.52,1
ITEM-000246,ORD-000123,PRD-0022,3,269.21,94.37,807.63,1
ITEM-000247,ORD-000123,PRD-0033,4,95.58,62.65,382.32,1
ITEM-000248,ORD-000124,PRD-0013,7,90.56,46.3,633.92,1
ITEM-000249,ORD-000124,PRD-0062,10,81.57,40.39,815.7,1
ITEM-000250,ORD-000124,PRD-0040,1,31.44,17.52,31.44,0
ITEM-000251,ORD-000125,PRD-0078,3,119.55,65.24,358.65,1
ITEM-000252,ORD-000125,PRD-0057,1,133.74,64.55,133.74,1
ITEM-000253,ORD-000125,PRD-0072,6,339.13,128.08,2034.78,1
ITEM-000254,ORD-000126,PRD-0062,6,81.57,40.39,489.42,1
ITEM-000255,ORD-000126,PRD-0012,5,283.07,189.66,1415.35,1
ITEM-000256,ORD-000127,PRD-0064,8,134.91,85.58,1079.28,1
ITEM-000257,ORD-000128,PRD-0040,10,31.44,17.52,314.4,0
ITEM-000258,ORD-000128,PRD-0017,9,339.58,185.04,3056.22,1
ITEM-000259,ORD-000128,PRD-0051,10,274.88,145.41,2748.8,1
ITEM-000260,ORD-000128,PRD-0078,10,119.55,65.24,1195.5,1
ITEM-000261,ORD-000129,PRD-0006,8,257.0,129.8,2056.0,1
ITEM-000262,ORD-000130,PRD-0006,5,257.0,129.8,1285.0,1
ITEM-000263,ORD-000130,PRD-0061,5,472.66,192.57,2363.3,1
ITEM-000264,ORD-000131,PRD-0021,6,229.81,118.82,1378.86,1
ITEM-000265,ORD-000132,PRD-0074,4,281.58,183.0,1126.32,1
ITEM-000266,ORD-000132,PRD-0022,6,269.21,94.37,1615.26,1
ITEM-000267,ORD-000132,PRD-0062,9,81.57,40.39,734.13,1
ITEM-000268,ORD-000132,PRD-0016,7,383.39,136.31,2683.73,0
ITEM-000269,ORD-000132,PRD-0001,5,16.36,9.88,81.8,1
ITEM-000270,ORD-000133,PRD-0002,10,92.63,43.77,926.3,1
ITEM-000271,ORD-000133,PRD-0003,3,105.82,70.64,317.46,1
ITEM-000272,ORD-000134,PRD-0056,9,182.46,64.25,1642.14,1
ITEM-000273,ORD-000134,PRD-0071,9,296.43,140.08,2667.87,1
ITEM-000274,ORD-000135,PRD-0058,3,188.66,92.85,565.98,1
ITEM-000275,ORD-000135,PRD-0011,2,257.74,110.18,515.48,1
ITEM-000276,ORD-000136,PRD-0073,6,268.28,160.25,1609.68,1
ITEM-000277,ORD-000136,PRD-0020,3,286.25,192.35,858.75,1
ITEM-000278,ORD-000136,PRD-0028,8,254.62,148.63,2036.96,1
ITEM-000279,ORD-000137,PRD-0078,10,119.55,65.24,1195.5,1
ITEM-000280,ORD-000137,PRD-0047,8,386.76,155.63,3094.08,1
ITEM-000281,ORD-000137,PRD-0022,9,269.21,94.37,2422.89,1
ITEM-000282,ORD-000138,PRD-0052,2,189.21,97.29,378.42,1
ITEM-000283,ORD-000139,PRD-0033,4,95.58,62.65,382.32,1
ITEM-000284,ORD-000140,PRD-0013,9,90.56,46.3,815.04,1
ITEM-000285,ORD-000140,PRD-0015,10,82.67,30.8,826.7,1
ITEM-000286,ORD-000141,PRD-0063,5,455.89,189.31,2279.45,1
ITEM-000287,ORD-000141,PRD-0064,1,134.91,85.58,134.91,1
ITEM-000288,ORD-000142,PRD-0058,7,188.66,92.85,1320.62,1
ITEM-000289,ORD-000142,PRD-0026,6,273.09,111.39,1638.54,1
ITEM-000290,ORD-000143,PRD-0011,1,257.74,110.18,257.74,1
ITEM-000291,ORD-000144,PRD-0059,5,339.39,187.07,1696.95,0
ITEM-000292,ORD-000144,PRD-0039,3,221.89,106.65,665.67,1
ITEM-000293,ORD-000145,PRD-0068,10,66.43,33.98,664.3,1
ITEM-000294,ORD-000145,PRD-0074,1,281.58,183.0,281.58,1
ITEM-000295,ORD-000145,PRD-0054,1,15.13,7.76,15.13,1
ITEM-000296,ORD-000145,PRD-0071,2,296.43,140.08,592.86,1
ITEM-000297,ORD-000146,PRD-0049,4,181.32,99.28,725.28,1
ITEM-000298,ORD-000147,PRD-0079,5,447.38,183.13,2236.9,1
ITEM-000299,ORD-000147,PRD-0067,9,287.56,173.49,2588.04,1
ITEM-000300,ORD-000148,PRD-0057,6,133.74,64.55,802.44,1
ITEM-000301,ORD-000148,PRD-0034,4,250.82,118.1,1003.28,1
ITEM-000302,ORD-000149,PRD-0073,3,268.28,160.25,804.84,1
ITEM-000303,ORD-000149,PRD-0032,2,237.14,135.77,474.28,0
ITEM-000304,ORD-000150,PRD-0009,8,300.4,108.18,2403.2,1
ITEM-000305,ORD-000151,PRD-0011,4,257.74,110.18,1030.96,1
ITEM-000306,ORD-000151,PRD-0003,4,105.82,70.64,423.28,1
ITEM-000307,ORD-000151,PRD-0036,8,202.23,127.8,1617.84,1
ITEM-000308,ORD-000152,PRD-0055,5,143.03,90.89,715.15,1
ITEM-000309,ORD-000152,PRD-0052,2,189.21,97.29,378.42,1
ITEM-000310,ORD-000152,PRD-0022,1,269.21,94.37,269.21,1
ITEM-000311,ORD-000152,PRD-0067,4,287.56,173.49,1150.24,1
ITEM-000312,ORD-000153,PRD-0005,7,133.48,76.14,934.36,1
ITEM-000313,ORD-000153,PRD-0074,8,281.58,183.0,2252.64,1
ITEM-000314,ORD-000153,PRD-0058,4,188.66,92.85,754.64,1
ITEM-000315,ORD-000153,PRD-0059,4,339.39,187.07,1357.56,0
ITEM-000316,ORD-000154,PRD-0076,3,174.91,62.57,524.73,1
ITEM-000317,ORD-000154,PRD-0054,7,15.13,7.76,105.91,1
ITEM-000318,ORD-000155,PRD-0067,4,287.56,173.49,1150.24,1
ITEM-000319,ORD-000155,PRD-0032,8,237.14,135.77,1897.12,0
ITEM-000320,ORD-000155,PRD-0071,7,296.43,140.08,2075.01,1
ITEM-000321,ORD-000156,PRD-0001,10,16.36,9.88,163.6,1
ITEM-000322,ORD-000156,PRD-0008,7,136.15,47.77,953.05,1
ITEM-000323,ORD-000157,PRD-0071,2,296.43,140.08,592.86,1
ITEM-000324,ORD-000158,PRD-0045,4,52.93,34.71,211.72,1
ITEM-000325,ORD-000158,PRD-0065,6,400.0,194.76,2400.0,1
ITEM-000326,ORD-000159,PRD-0061,4,472.66,192.57,1890.64,1
ITEM-000327,ORD-000159,PRD-0014,7,193.27,119.72,1352.89,1
ITEM-000328,ORD-000159,PRD-0072,10,339.13,128.08,3391.3,1
ITEM-000329,ORD-000160,PRD-0048,2,249.37,165.35,498.74,1
ITEM-000330,ORD-000160,PRD-0044,8,30.25,20.97,242.0,1
ITEM-000331,ORD-000161,PRD-0053,1,241.86,153.63,241.86,1
ITEM-000332,ORD-000162,PRD-0014,2,193.27,119.72,386.54,1
ITEM-000333,ORD-000162,PRD-0003,7,105.82,70.64,740.74,1
ITEM-000334,ORD-000162,PRD-0069,5,30.75,13.51,153.75,1
ITEM-000335,ORD-000162,PRD-0016,6,383.39,136.31,2300.34,0
ITEM-000336,ORD-000163,PRD-0074,8,281.58,183.0,2252.64,1
ITEM-000337,ORD-000163,PRD-0070,3,443.08,174.59,1329.24,1
ITEM-000338,ORD-000163,PRD-0014,3,193.27,119.72,579.81,1
ITEM-000339,ORD-000163,PRD-0051,4,274.88,145.41,1099.52,1
ITEM-000340,ORD-000163,PRD-0012,10,283.07,189.66,2830.7,1
ITEM-000341,ORD-000164,PRD-0034,1,250.82,118.1,250.82,1
ITEM-000342,ORD-000164,PRD-0003,7,105.82,70.64,740.74,1
ITEM-000343,ORD-000164,PRD-0010,6,485.42,190.99,2912.52,1
ITEM-000344,ORD-000165,PRD-0008,2,136.15,47.77,272.3,1
ITEM-000345,ORD-000165,PRD-0032,10,237.14,135.77,2371.4,0
ITEM-000346,ORD-000165,PRD-0018,9,83.41,46.68,750.69,1
ITEM-000347,ORD-000165,PRD-0044,1,30.25,20.97,30.25,1
ITEM-000348,ORD-000166,PRD-0004,3,315.28,125.61,945.84,1
ITEM-000349,ORD-000167,PRD-0032,3,237.14,135.77,711.42,0
ITEM-000350,ORD-000168,PRD-0061,2,472.66,192.57,945.32,1
ITEM-000351,ORD-000169,PRD-0023,3,292.62,142.19,877.86,1
ITEM-000352,ORD-000169,PRD-0022,5,269.21,94.37,1346.05,1
ITEM-000353,ORD-000170,PRD-0077,4,329.79,160.78,1319.16,1
ITEM-000354,ORD-000170,PRD-0067,1,287.56,173.49,287.56,1
ITEM-000355,ORD-000170,PRD-0069,4,30.75,13.51,123.0,1
ITEM-000356,ORD-000170,PRD-0049,10,181.32,99.28,1813.2,1
ITEM-000357,ORD-000171,PRD-0013,3,90.56,46.3,271.68,1
ITEM-000358,ORD-000172,PRD-0031,6,135.64,66.17,813.84,0
ITEM-000359,ORD-000172,PRD-0037,3,369.76,191.8,1109.28,1
ITEM-000360,ORD-000173,PRD-0040,1,31.44,17.52,31.44,0
ITEM-000361,ORD-000174,PRD-0022,9,269.21,94.37,2422.89,1
ITEM-000362,ORD-000174,PRD-0032,1,237.14,135.77,237.14,0
