year,month,department,gl_category,gl_account,amount
2023,1,IT,OpEx,Depreciation,25478.26
2023,1,Customer Service,COGS,Product Cost,106138.18
2023,1,Customer Service,COGS,Freight In,52878.96
2023,1,Customer Service,COGS,Packaging,86883.63
2023,1,Customer Service,OpEx,Salaries,100365.55
2023,1,Customer Service,OpEx,Marketing Spend,48088.62
2023,1,Customer Service,OpEx,Software & SaaS,13330.88
2023,1,Customer Service,OpEx,Office Rent,30292.81
2023,1,Customer Service,OpEx,Travel & Entertainment,17360.07
2023,1,Customer Service,OpEx,Professional Services,26393.43
2023,1,Customer Service,OpEx,Utilities,44976.16
2023,1,Customer Service,OpEx,Depreciation,107820.39
2023,2,Sales,Revenue,Product Sales,138462.33
2023,2,Sales,Revenue,Service Revenue,90702.47
2023,2,Sales,Revenue,Shipping Revenue,36560.41
2023,2,Sales,COGS,Product Cost,101004.16
2023,2,Sales,COGS,Freight In,34967.6
2023,2,Sales,COGS,Packaging,53884.52
2023,2,Sales,OpEx,Salaries,56811.28
2023,2,Sales,OpEx,Marketing Spend,66100.99
2023,2,Sales,OpEx,Software & SaaS,84314.65
2023,2,Sales,OpEx,Office Rent,94466.89
2023,2,Sales,OpEx,Travel & Entertainment,101581.5
2023,2,Sales,OpEx,Professional Services,24571.79
2023,2,Sales,OpEx,Utilities,76148.27
2023,2,Sales,OpEx,Depreciation,56424.97
2023,2,Marketing,COGS,Product Cost,53312.59
2023,2,Marketing,COGS,Freight In,13959.07
2023,2,Marketing,COGS,Packaging,114910.26
2023,2,Marketing,OpEx,Salaries,72428.46
2023,2,Marketing,OpEx,Marketing Spend,24336.87
2023,2,Marketing,OpEx,Software & SaaS,104950.28
2023,2,Marketing,OpEx,Office Rent,18355.48
2023,2,Marketing,OpEx,Travel & Entertainment,19525.03
2023,2,Marketing,OpEx,Professional Services,58586.4
2023,2,Marketing,OpEx,Utilities,83691.09
2023,2,Marketing,OpEx,Depreciation,47114.96
2023,2,Operations,COGS,Product Cost,107404.22
2023,2,Operations,COGS,Freight In,100312.42
2023,2,Operations,COGS,Packaging,56629.36
2023,2,Operations,OpEx,Salaries,13322.91
2023,2,Operations,OpEx,Marketing Spend,81327.6
2023,2,Operations,OpEx,Software & SaaS,52955.98
2023,2,Operations,OpEx,Office Rent,17343.2
2023,2,Operations,OpEx,Travel & Entertainment,59315.0
2023,2,Operations,OpEx,Professional Services,18792.77
2023,2,Operations,OpEx,Utilities,46651.15
2023,2,Operations,OpEx,Depreciation,14006.03
2023,2,Finance,COGS,Product Cost,33916.31
2023,2,Finance,COGS,Freight In,80891.45
2023,2,Finance,COGS,Packaging,93142.06
2023,2,Finance,OpEx,Salaries,25423.55
2023,2,Finance,OpEx,Marketing Spend,44757.22
2023,2,Finance,OpEx,Software & SaaS,43575.26
2023,2,Finance,OpEx,Office Rent,106412.3
2023,2,Finance,OpEx,Travel & Entertainment,45672.6
2023,2,Finance,OpEx,Professional Services,126039.04
2023,2,Finance,OpEx,Utilities,79444.71
2023,2,Finance,OpEx,Depreciation,71635.77
2023,2,HR,COGS,Product Cost,36661.55
2023,2,HR,COGS,Freight In,82912.7
2023,2,HR,COGS,Packaging,40570.55
2023,2,HR,OpEx,Salaries,65786.98
2023,2,HR,OpEx,Marketing Spend,45421.64
2023,2,HR,OpEx,Software & SaaS,64782.5
2023,2,HR,OpEx,Office Rent,49524.16
2023,2,HR,OpEx,Travel & Entertainment,124077.21
2023,2,HR,OpEx,Professional Services,143180.77
2023,2,HR,OpEx,Utilities,77406.05
2023,2,HR,OpEx,Depreciation,136216.43
2023,2,IT,COGS,Product Cost,60515.46
2023,2,IT,COGS,Freight In,147907.7
2023,2,IT,COGS,Packaging,14825.86
2023,2,IT,OpEx,Salaries,40829.66
2023,2,IT,OpEx,Marketing Spend,84390.24
2023,2,IT,OpEx,Software & SaaS,61161.64
2023,2,IT,OpEx,Office Rent,18093.72
2023,2,IT,OpEx,Travel & Entertainment,32295.64
2023,2,IT,OpEx,Professional Services,98032.37
2023,2,IT,OpEx,Utilities,82084.92
2023,2,IT,OpEx,Depreciation,76232.7
2023,2,Customer Service,COGS,Product Cost,41982.12
2023,2,Customer Service,COGS,Freight In,87848.27
2023,2,Customer Service,COGS,Packaging,43803.61
2023,2,Customer Service,OpEx,Salaries,49587.67
2023,2,Customer Service,OpEx,Marketing Spend,9423.8
2023,2,Customer Service,OpEx,Software & SaaS,63629.29
2023,2,Customer Service,OpEx,Office Rent,21966.97
2023,2,Customer Service,OpEx,Travel & Entertainment,116174.53
2023,2,Customer Service,OpEx,Professional Services,109028.4
2023,2,Customer Service,OpEx,Utilities,28767.12
2023,2,Customer Service,OpEx,Depreciation,27274.54
2023,3,Sales,Revenue,Product Sales,92337.08
2023,3,Sales,Revenue,Service Revenue,30542.09
2023,3,Sales,Revenue,Shipping Revenue,45180.38
2023,3,Sales,COGS,Product Cost,20115.49
2023,3,Sales,COGS,Freight In,98565.52
2023,3,Sales,COGS,Packaging,17838.87
2023,3,Sales,OpEx,Salaries,126847.73
2023,3,Sales,OpEx,Marketing Spend,28885.18
2023,3,Sales,OpEx,Software & SaaS,51446.88
2023,3,Sales,OpEx,Office Rent,78200.39
2023,3,Sales,OpEx,Travel & Entertainment,44633.11
2023,3,Sales,OpEx,Professional Services,105203.8
2023,3,Sales,OpEx,Utilities,76509.99
2023,3,Sales,OpEx,Depreciation,35022.17
2023,3,Marketing,COGS,Product Cost,68835.64
2023,3,Marketing,COGS,Freight In,91066.6
2023,3,Marketing,COGS,Packaging,77277.83
2023,3,Marketing,OpEx,Salaries,85120.78
2023,3,Marketing,OpEx,Marketing Spend,96576.91
2023,3,Marketing,OpEx,Software & SaaS,47710.22
2023,3,Marketing,OpEx,Office Rent,25557.79
2023,3,Marketing,OpEx,Travel & Entertainment,70225.96
2023,3,Marketing,OpEx,Professional Services,92476.93
2023,3,Marketing,OpEx,Utilities,57482.31
2023,3,Marketing,OpEx,Depreciation,133127.39
2023,3,Operations,COGS,Product Cost,88769.99
2023,3,Operations,COGS,Freight In,19883.15
2023,3,Operations,COGS,Packaging,102014.66
2023,3,Operations,OpEx,Salaries,60665.99
2023,3,Operations,OpEx,Marketing Spend,70561.74
2023,3,Operations,OpEx,Software & SaaS,85268.39
2023,3,Operations,OpEx,Office Rent,38655.18
2023,3,Operations,OpEx,Travel & Entertainment,16392.82
2023,3,Operations,OpEx,Professional Services,82617.68
2023,3,Operations,OpEx,Utilities,111987.27
2023,3,Operations,OpEx,Depreciation,94485.2
2023,3,Finance,COGS,Product Cost,63533.46
2023,3,Finance,COGS,Freight In,80258.27
2023,3,Finance,COGS,Packaging,115100.89
2023,3,Finance,OpEx,Salaries,61514.64
2023,3,Finance,OpEx,Marketing Spend,109438.45
2023,3,Finance,OpEx,Software & SaaS,116545.92
2023,3,Finance,OpEx,Office Rent,56972.06
2023,3,Finance,OpEx,Travel & Entertainment,37445.93
2023,3,Finance,OpEx,Professional Services,38042.76
2023,3,Finance,OpEx,Utilities,46550.7
2023,3,Finance,OpEx,Depreciation,110622.0
2023,3,HR,COGS,Product Cost,57316.62
2023,3,HR,COGS,Freight In,88327.64
2023,3,HR,COGS,Packaging,108891.84
2023,3,HR,OpEx,Salaries,47981.31
2023,3,HR,OpEx,Marketing Spend,107446.22
2023,3,HR,OpEx,Software & SaaS,97024.39
2023,3,HR,OpEx,Office Rent,67951.29
2023,3,HR,OpEx,Travel & Entertainment,49256.98
2023,3,HR,OpEx,Professional Services,61125.98
2023,3,HR,OpEx,Utilities,62156.16
2023,3,HR,OpEx,Depreciation,102568.54
2023,3,IT,COGS,Product Cost,91027.91
2023,3,IT,COGS,Freight In,33895.44
2023,3,IT,COGS,Packaging,117299.9
2023,3,IT,OpEx,Salaries,90577.85
2023,3,IT,OpEx,Marketing Spend,81398.87
2023,3,IT,OpEx,Software & SaaS,9830.29
2023,3,IT,OpEx,Office Rent,39240.23
2023,3,IT,OpEx,Travel & Entertainment,62199.04
2023,3,IT,OpEx,Professional Services,65985.08
2023,3,IT,OpEx,Utilities,84584.21
2023,3,IT,OpEx,Depreciation,131942.54
2023,3,Customer Service,COGS,Product Cost,87290.74
2023,3,Customer Service,COGS,Freight In,50577.2
2023,3,Customer Service,COGS,Packaging,83134.62
2023,3,Customer Service,OpEx,Salaries,84127.29
2023,3,Customer Service,OpEx,Marketing Spend,25968.97
2023,3,Customer Service,OpEx,Software & SaaS,41368.43
2023,3,Customer Service,OpEx,Office Rent,129097.94
2023,3,Customer Service,OpEx,Travel & Entertainment,52728.09
2023,3,Customer Service,OpEx,Professional Services,73463.36
2023,3,Customer Service,OpEx,Utilities,49678.98
2023,3,Customer Service,OpEx,Depreciation,137091.25
2023,4,Sales,Revenue,Product Sales,81645.93
2023,4,Sales,Revenue,Service Revenue,55074.89
2023,4,Sales,Revenue,Shipping Revenue,18086.68
2023,4,Sales,COGS,Product Cost,42937.9
2023,4,Sales,COGS,Freight In,73057.45
2023,4,Sales,COGS,Packaging,78692.54
2023,4,Sales,OpEx,Salaries,82600.21
2023,4,Sales,OpEx,Marketing Spend,39642.3
2023,4,Sales,OpEx,Software & SaaS,82195.05
2023,4,Sales,OpEx,Office Rent,52765.05
2023,4,Sales,OpEx,Travel & Entertainment,55151.4
2023,4,Sales,OpEx,Professional Services,129526.77
2023,4,Sales,OpEx,Utilities,114340.46
2023,4,Sales,OpEx,Depreciation,88290.02
2023,4,Marketing,COGS,Product Cost,32535.29
2023,4,Marketing,COGS,Freight In,127926.96
2023,4,Marketing,COGS,Packaging,103209.99
2023,4,Marketing,OpEx,Salaries,57222.11
2023,4,Marketing,OpEx,Marketing Spend,82548.51
2023,4,Marketing,OpEx,Software & SaaS,39510.8
2023,4,Marketing,OpEx,Office Rent,134732.3
2023,4,Marketing,OpEx,Travel & Entertainment,20609.2
2023,4,Marketing,OpEx,Professional Services,76941.8
2023,4,Marketing,OpEx,Utilities,32523.42
2023,4,Marketing,OpEx,Depreciation,48138.57
2023,4,Operations,COGS,Product Cost,58435.18
2023,4,Operations,COGS,Freight In,29694.2
2023,4,Operations,COGS,Packaging,78296.88
2023,4,Operations,OpEx,Salaries,36271.02
2023,4,Operations,OpEx,Marketing Spend,123758.5
2023,4,Operations,OpEx,Software & SaaS,96002.2
2023,4,Operations,OpEx,Office Rent,116385.57
2023,4,Operations,OpEx,Travel & Entertainment,58226.28
2023,4,Operations,OpEx,Professional Services,137860.91
2023,4,Operations,OpEx,Utilities,123582.92
2023,4,Operations,OpEx,Depreciation,65760.14
2023,4,Finance,COGS,Product Cost,19007.39
2023,4,Finance,COGS,Freight In,101590.58
2023,4,Finance,COGS,Packaging,63717.28
2023,4,Finance,OpEx,Salaries,45171.65
2023,4,Finance,OpEx,Marketing Spend,14551.28
2023,4,Finance,OpEx,Software & SaaS,16483.51
2023,4,Finance,OpEx,Office Rent,34128.63
2023,4,Finance,OpEx,Travel & Entertainment,32416.39
2023,4,Finance,OpEx,Professional Services,66175.95
2023,4,Finance,OpEx,Utilities,65904.29
2023,4,Finance,OpEx,Depreciation,11306.4
2023,4,HR,COGS,Product Cost,37861.9
2023,4,HR,COGS,Freight In,51903.44
2023,4,HR,COGS,Packaging,100776.69
2023,4,HR,OpEx,Salaries,77045.67
2023,4,HR,OpEx,Marketing Spend,63165.76
2023,4,HR,OpEx,Software & SaaS,117142.85
2023,4,HR,OpEx,Office Rent,91450.08
2023,4,HR,OpEx,Travel & Entertainment,58724.99
2023,4,HR,OpEx,Professional Services,85132.03
2023,4,HR,OpEx,Utilities,88460.78
2023,4,HR,OpEx,Depreciation,9833.01
2023,4,IT,COGS,Product Cost,55869.32
2023,4,IT,COGS,Freight In,48018.96
2023,4,IT,COGS,Packaging,50785.53
2023,4,IT,OpEx,Salaries,45768.41
2023,4,IT,OpEx,Marketing Spend,51201.71
2023,4,IT,OpEx,Software & SaaS,13410.11
2023,4,IT,OpEx,Office Rent,81826.03
2023,4,IT,OpEx,Travel & Entertainment,107586.13
2023,4,IT,OpEx,Professional Services,75566.2
2023,4,IT,OpEx,Utilities,38802.95
2023,4,IT,OpEx,Depreciation,84344.98
2023,4,Customer Service,COGS,Product Cost,89172.33
2023,4,Customer Service,COGS,Freight In,69655.11
2023,4,Customer Service,COGS,Packaging,42184.88
2023,4,Customer Service,OpEx,Salaries,45853.36
2023,4,Customer Service,OpEx,Marketing Spend,77839.3
2023,4,Customer Service,OpEx,Software & SaaS,111373.12
2023,4,Customer Service,OpEx,Office Rent,95757.65
2023,4,Customer Service,OpEx,Travel & Entertainment,81044.86
2023,4,Customer Service,OpEx,Professional Services,43588.11
2023,4,Customer Service,OpEx,Utilities,46179.11
2023,4,Customer Service,OpEx,Depreciation,38231.71
2023,5,Sales,Revenue,Product Sales,68249.71
2023,5,Sales,Revenue,Service Revenue,28394.55
2023,5,Sales,Revenue,Shipping Revenue,121365.63
2023,5,Sales,COGS,Product Cost,126103.82
2023,5,Sales,COGS,Freight In,90757.7
2023,5,Sales,COGS,Packaging,112174.99
2023,5,Sales,OpEx,Salaries,69915.34
2023,5,Sales,OpEx,Marketing Spend,82665.61
2023,5,Sales,OpEx,Software & SaaS,29094.94
2023,5,Sales,OpEx,Office Rent,25901.03
2023,5,Sales,OpEx,Travel & Entertainment,83072.54
2023,5,Sales,OpEx,Professional Services,90837.3
2023,5,Sales,OpEx,Utilities,127836.39
2023,5,Sales,OpEx,Depreciation,41338.31
2023,5,Marketing,COGS,Product Cost,30295.98
2023,5,Marketing,COGS,Freight In,31202.27
2023,5,Marketing,COGS,Packaging,66699.3
2023,5,Marketing,OpEx,Salaries,49268.35
2023,5,Marketing,OpEx,Marketing Spend,69883.27
2023,5,Marketing,OpEx,Software & SaaS,68038.69
2023,5,Marketing,OpEx,Office Rent,51596.49
2023,5,Marketing,OpEx,Travel & Entertainment,63728.0
2023,5,Marketing,OpEx,Professional Services,53635.81
2023,5,Marketing,OpEx,Utilities,37180.21
2023,5,Marketing,OpEx,Depreciation,82340.96
2023,5,Operations,COGS,Product Cost,104559.66
2023,5,Operations,COGS,Freight In,104667.73
2023,5,Operations,COGS,Packaging,89837.46
2023,5,Operations,OpEx,Salaries,93819.67
2023,5,Operations,OpEx,Marketing Spend,100685.42
2023,5,Operations,OpEx,Software & SaaS,57491.54
2023,5,Operations,OpEx,Office Rent,102352.47
2023,5,Operations,OpEx,Travel & Entertainment,88911.38
2023,5,Operations,OpEx,Professional Services,60840.87
2023,5,Operations,OpEx,Utilities,74944.64
2023,5,Operations,OpEx,Depreciation,40794.63
2023,5,Finance,COGS,Product Cost,33174.65
2023,5,Finance,COGS,Freight In,35011.18
2023,5,Finance,COGS,Packaging,42789.92
2023,5,Finance,OpEx,Salaries,111178.71
2023,5,Finance,OpEx,Marketing Spend,124229.06
2023,5,Finance,OpEx,Software & SaaS,24442.99
2023,5,Finance,OpEx,Office Rent,33021.05
2023,5,Finance,OpEx,Travel & Entertainment,66070.48
2023,5,Finance,OpEx,Professional Services,50820.41
2023,5,Finance,OpEx,Utilities,41595.52
2023,5,Finance,OpEx,Depreciation,49697.56
2023,5,HR,COGS,Product Cost,24981.19
2023,5,HR,COGS,Freight In,59080.88
2023,5,HR,COGS,Packaging,11806.88
2023,5,HR,OpEx,Salaries,43248.95
2023,5,HR,OpEx,Marketing Spend,41389.23
2023,5,HR,OpEx,Software & SaaS,57734.02
2023,5,HR,OpEx,Office Rent,18032.76
2023,5,HR,OpEx,Travel & Entertainment,27061.8
2023,5,HR,OpEx,Professional Services,32057.71
2023,5,HR,OpEx,Utilities,106971.52
2023,5,HR,OpEx,Depreciation,63329.57
2023,5,IT,COGS,Product Cost,38527.51
2023,5,IT,COGS,Freight In,93215.94
2023,5,IT,COGS,Packaging,14104.79
2023,5,IT,OpEx,Salaries,34320.46
2023,5,IT,OpEx,Marketing Spend,8323.26
2023,5,IT,OpEx,Software & SaaS,136886.63
2023,5,IT,OpEx,Office Rent,64880.61
2023,5,IT,OpEx,Travel & Entertainment,82421.82
2023,5,IT,OpEx,Professional Services,42854.9
2023,5,IT,OpEx,Utilities,17455.14
2023,5,IT,OpEx,Depreciation,71235.5
2023,5,Customer Service,COGS,Product Cost,116028.82
2023,5,Customer Service,COGS,Freight In,84547.24
2023,5,Customer Service,COGS,Packaging,53258.26
2023,5,Customer Service,OpEx,Salaries,40159.78
2023,5,Customer Service,OpEx,Marketing Spend,10647.05
2023,5,Customer Service,OpEx,Software & SaaS,77273.11
2023,5,Customer Service,OpEx,Office Rent,133866.26
2023,5,Customer Service,OpEx,Travel & Entertainment,40677.74
2023,5,Customer Service,OpEx,Professional Services,58037.77
2023,5,Customer Service,OpEx,Utilities,52768.93
2023,5,Customer Service,OpEx,Depreciation,80259.88
2023,6,Sales,Revenue,Product Sales,125861.3
2023,6,Sales,Revenue,Service Revenue,19888.02
2023,6,Sales,Revenue,Shipping Revenue,20308.14
2023,6,Sales,COGS,Product Cost,32221.56
2023,6,Sales,COGS,Freight In,24901.45
2023,6,Sales,COGS,Packaging,69372.42
2023,6,Sales,OpEx,Salaries,87621.76
2023,6,Sales,OpEx,Marketing Spend,56174.18
2023,6,Sales,OpEx,Software & SaaS,73070.1
2023,6,Sales,OpEx,Office Rent,25089.66
2023,6,Sales,OpEx,Travel & Entertainment,16361.18
2023,6,Sales,OpEx,Professional Services,47580.92
2023,6,Sales,OpEx,Utilities,29497.1
2023,6,Sales,OpEx,Depreciation,57661.09
2023,6,Marketing,COGS,Product Cost,26101.2
2023,6,Marketing,COGS,Freight In,19240.43
2023,6,Marketing,COGS,Packaging,50592.15
2023,6,Marketing,OpEx,Salaries,48499.94
2023,6,Marketing,OpEx,Marketing Spend,56868.02
2023,6,Marketing,OpEx,Software & SaaS,26625.47
2023,6,Marketing,OpEx,Office Rent,20834.16
2023,6,Marketing,OpEx,Travel & Entertainment,39656.78
2023,6,Marketing,OpEx,Professional Services,51233.74
2023,6,Marketing,OpEx,Utilities,56495.75
2023,6,Marketing,OpEx,Depreciation,13020.36
2023,6,Operations,COGS,Product Cost,55913.31
2023,6,Operations,COGS,Freight In,113734.62
2023,6,Operations,COGS,Packaging,59151.0
2023,6,Operations,OpEx,Salaries,45581.55
2023,6,Operations,OpEx,Marketing Spend,50769.53
2023,6,Operations,OpEx,Software & SaaS,15673.03
2023,6,Operations,OpEx,Office Rent,72973.47
2023,6,Operations,OpEx,Travel & Entertainment,62110.55
2023,6,Operations,OpEx,Professional Services,88358.49
2023,6,Operations,OpEx,Utilities,112721.71
2023,6,Operations,OpEx,Depreciation,103232.92
2023,6,Finance,COGS,Product Cost,39255.57
2023,6,Finance,COGS,Freight In,38402.35
2023,6,Finance,COGS,Packaging,52711.41
2023,6,Finance,OpEx,Salaries,101219.66
2023,6,Finance,OpEx,Marketing Spend,138873.33
2023,6,Finance,OpEx,Software & SaaS,56768.6
2023,6,Finance,OpEx,Office Rent,16151.99
2023,6,Finance,OpEx,Travel & Entertainment,36906.56
2023,6,Finance,OpEx,Professional Services,22733.98
2023,6,Finance,OpEx,Utilities,12474.07
2023,6,Finance,OpEx,Depreciation,49231.06
2023,6,HR,COGS,Product Cost,106623.35
2023,6,HR,COGS,Freight In,87618.45
2023,6,HR,COGS,Packaging,96618.28
2023,6,HR,OpEx,Salaries,20955.4
2023,6,HR,OpEx,Marketing Spend,20182.81
2023,6,HR,OpEx,Software & SaaS,103658.32
2023,6,HR,OpEx,Office Rent,44700.78
2023,6,HR,OpEx,Travel & Entertainment,80799.97
2023,6,HR,OpEx,Professional Services,67972.03
2023,6,HR,OpEx,Utilities,51152.68
2023,6,HR,OpEx,Depreciation,46247.69
2023,6,IT,COGS,Product Cost,29336.49
2023,6,IT,COGS,Freight In,50046.2
2023,6,IT,COGS,Packaging,47290.47
2023,6,IT,OpEx,Salaries,72934.87
2023,6,IT,OpEx,Marketing Spend,12060.97
2023,6,IT,OpEx,Software & SaaS,93034.96
2023,6,IT,OpEx,Office Rent,87099.06
2023,6,IT,OpEx,Travel & Entertainment,59713.54
2023,6,IT,OpEx,Professional Services,69608.18
2023,6,IT,OpEx,Utilities,77659.15
2023,6,IT,OpEx,Depreciation,107176.86
2023,6,Customer Service,COGS,Product Cost,19588.51
2023,6,Customer Service,COGS,Freight In,52976.27
2023,6,Customer Service,COGS,Packaging,82254.47
2023,6,Customer Service,OpEx,Salaries,98553.62
2023,6,Customer Service,OpEx,Marketing Spend,127352.81
2023,6,Customer Service,OpEx,Software & SaaS,83336.24
2023,6,Customer Service,OpEx,Office Rent,61905.97
2023,6,Customer Service,OpEx,Travel & Entertainment,106825.76
2023,6,Customer Service,OpEx,Professional Services,44031.46
2023,6,Customer Service,OpEx,Utilities,51645.16
2023,6,Customer Service,OpEx,Depreciation,15059.77
2023,7,Sales,Revenue,Product Sales,75071.34
2023,7,Sales,Revenue,Service Revenue,137865.34
2023,7,Sales,Revenue,Shipping Revenue,42774.2
2023,7,Sales,COGS,Product Cost,14542.01
2023,7,Sales,COGS,Freight In,46423.47
2023,7,Sales,COGS,Packaging,84434.95
2023,7,Sales,OpEx,Salaries,59168.52
2023,7,Sales,OpEx,Marketing Spend,34598.22
2023,7,Sales,OpEx,Software & SaaS,19276.22
2023,7,Sales,OpEx,Office Rent,115762.53
2023,7,Sales,OpEx,Travel & Entertainment,65650.78
2023,7,Sales,OpEx,Professional Services,89005.61
2023,7,Sales,OpEx,Utilities,73334.27
2023,7,Sales,OpEx,Depreciation,54504.34
2023,7,Marketing,COGS,Product Cost,96488.82
2023,7,Marketing,COGS,Freight In,123960.09
2023,7,Marketing,COGS,Packaging,111855.62
2023,7,Marketing,OpEx,Salaries,38050.64
2023,7,Marketing,OpEx,Marketing Spend,67442.11
2023,7,Marketing,OpEx,Software & SaaS,129272.57
2023,7,Marketing,OpEx,Office Rent,84437.72
2023,7,Marketing,OpEx,Travel & Entertainment,34098.33
2023,7,Marketing,OpEx,Professional Services,11836.61
2023,7,Marketing,OpEx,Utilities,80586.2
2023,7,Marketing,OpEx,Depreciation,91967.22
2023,7,Operations,COGS,Product Cost,63174.85
2023,7,Operations,COGS,Freight In,98544.48
2023,7,Operations,COGS,Packaging,116093.35
2023,7,Operations,OpEx,Salaries,111042.36
2023,7,Operations,OpEx,Marketing Spend,112932.2
2023,7,Operations,OpEx,Software & SaaS,18033.59
2023,7,Operations,OpEx,Office Rent,78944.11
2023,7,Operations,OpEx,Travel & Entertainment,74161.09
2023,7,Operations,OpEx,Professional Services,93779.66
2023,7,Operations,OpEx,Utilities,40299.8
2023,7,Operations,OpEx,Depreciation,61995.97
2023,7,Finance,COGS,Product Cost,42944.45
2023,7,Finance,COGS,Freight In,82697.15
2023,7,Finance,COGS,Packaging,50480.86
2023,7,Finance,OpEx,Salaries,27207.4
2023,7,Finance,OpEx,Marketing Spend,94529.73
2023,7,Finance,OpEx,Software & SaaS,64960.05
2023,7,Finance,OpEx,Office Rent,113201.91
2023,7,Finance,OpEx,Travel & Entertainment,86607.04
2023,7,Finance,OpEx,Professional Services,118964.69
2023,7,Finance,OpEx,Utilities,80739.5
2023,7,Finance,OpEx,Depreciation,84555.75
2023,7,HR,COGS,Product Cost,89165.76
2023,7,HR,COGS,Freight In,90360.27
2023,7,HR,COGS,Packaging,71377.31
2023,7,HR,OpEx,Salaries,92916.35
2023,7,HR,OpEx,Marketing Spend,103108.4
2023,7,HR,OpEx,Software & SaaS,13372.43
2023,7,HR,OpEx,Office Rent,30414.82
2023,7,HR,OpEx,Travel & Entertainment,73573.01
2023,7,HR,OpEx,Professional Services,108421.08
2023,7,HR,OpEx,Utilities,138919.73
2023,7,HR,OpEx,Depreciation,25348.4
2023,7,IT,COGS,Product Cost,117704.47
2023,7,IT,COGS,Freight In,112805.52
2023,7,IT,COGS,Packaging,44332.9
2023,7,IT,OpEx,Salaries,124129.64
2023,7,IT,OpEx,Marketing Spend,96076.55
2023,7,IT,OpEx,Software & SaaS,104111.2
2023,7,IT,OpEx,Office Rent,73862.56
2023,7,IT,OpEx,Travel & Entertainment,14753.02
2023,7,IT,OpEx,Professional Services,64403.68
2023,7,IT,OpEx,Utilities,120073.34
2023,7,IT,OpEx,Depreciation,56480.88
2023,7,Customer Service,COGS,Product Cost,42664.74
2023,7,Customer Service,COGS,Freight In,20742.89
2023,7,Customer Service,COGS,Packaging,82582.92
2023,7,Customer Service,OpEx,Salaries,73750.57
