entry_id,date,account_code,account_name,debit,credit,reference,description
JE-0000037,2023-01-06,4100,Shipping Revenue,0.0,100.71,ORD-000010,Shipping charged to customer
JE-0000038,2023-01-06,2100,Sales Tax Payable,0.0,42.38,ORD-000010,Sales tax collected
JE-0000039,2023-01-06,4000,Product Sales,0.0,351.9,ORD-000011,Order revenue
JE-0000040,2023-01-06,5000,Cost of Goods Sold,150.24,0.0,ORD-000011,Order COGS
JE-0000041,2023-01-06,4100,Shipping Revenue,0.0,82.06,ORD-000011,Shipping charged to customer
JE-0000042,2023-01-06,2100,Sales Tax Payable,0.0,24.63,ORD-000011,Sales tax collected
JE-0000043,2023-01-07,4000,Product Sales,0.0,3121.24,ORD-000012,Order revenue
JE-0000044,2023-01-07,5000,Cost of Goods Sold,1850.81,0.0,ORD-000012,Order COGS
JE-0000045,2023-01-07,4100,Shipping Revenue,0.0,122.28,ORD-000012,Shipping charged to customer
JE-0000046,2023-01-07,2100,Sales Tax Payable,0.0,110.4,ORD-000012,Sales tax collected
JE-0000047,2023-01-08,4000,Product Sales,0.0,1609.59,ORD-000013,Order revenue
JE-0000048,2023-01-08,5000,Cost of Goods Sold,734.25,0.0,ORD-000013,Order COGS
JE-0000049,2023-01-08,4100,Shipping Revenue,0.0,35.59,ORD-000013,Shipping charged to customer
JE-0000050,2023-01-08,2100,Sales Tax Payable,0.0,64.38,ORD-000013,Sales tax collected
JE-0000051,2023-01-08,4000,Product Sales,0.0,3393.9,ORD-000014,Order revenue
JE-0000052,2023-01-08,5000,Cost of Goods Sold,1870.7,0.0,ORD-000014,Order COGS
JE-0000053,2023-01-08,4100,Shipping Revenue,0.0,38.65,ORD-000014,Shipping charged to customer
JE-0000054,2023-01-09,4000,Product Sales,0.0,6093.68,ORD-000015,Order revenue
JE-0000055,2023-01-09,5000,Cost of Goods Sold,3245.38,0.0,ORD-000015,Order COGS
JE-0000056,2023-01-09,4100,Shipping Revenue,0.0,49.45,ORD-000015,Shipping charged to customer
JE-0000057,2023-01-09,2100,Sales Tax Payable,0.0,396.09,ORD-000015,Sales tax collected
JE-0000058,2023-01-09,4000,Product Sales,0.0,271.68,ORD-000016,Order revenue
JE-0000059,2023-01-09,5000,Cost of Goods Sold,138.9,0.0,ORD-000016,Order COGS
JE-0000060,2023-01-09,4100,Shipping Revenue,0.0,21.65,ORD-000016,Shipping charged to customer
JE-0000061,2023-01-09,2100,Sales Tax Payable,0.0,16.3,ORD-000016,Sales tax collected
JE-0000062,2023-01-09,4000,Product Sales,0.0,3125.5,ORD-000017,Order revenue
JE-0000063,2023-01-09,5000,Cost of Goods Sold,1562.9,0.0,ORD-000017,Order COGS
JE-0000064,2023-01-09,4100,Shipping Revenue,0.0,53.47,ORD-000017,Shipping charged to customer
JE-0000065,2023-01-09,2100,Sales Tax Payable,0.0,195.34,ORD-000017,Sales tax collected
JE-0000066,2023-01-09,4000,Product Sales,0.0,1695.65,ORD-000018,Order revenue
JE-0000067,2023-01-09,5000,Cost of Goods Sold,640.4,0.0,ORD-000018,Order COGS
JE-0000068,2023-01-09,4100,Shipping Revenue,0.0,77.69,ORD-000018,Shipping charged to customer
JE-0000069,2023-01-09,2100,Sales Tax Payable,0.0,67.83,ORD-000018,Sales tax collected
JE-0000070,2023-01-09,4000,Product Sales,0.0,1092.36,ORD-000019,Order revenue
JE-0000071,2023-01-09,5000,Cost of Goods Sold,445.56,0.0,ORD-000019,Order COGS
JE-0000072,2023-01-09,4100,Shipping Revenue,0.0,22.72,ORD-000019,Shipping charged to customer
JE-0000073,2023-01-09,2100,Sales Tax Payable,0.0,43.69,ORD-000019,Sales tax collected
JE-0000074,2023-01-09,4000,Product Sales,0.0,1430.3,ORD-000020,Order revenue
JE-0000075,2023-01-09,5000,Cost of Goods Sold,908.9,0.0,ORD-000020,Order COGS
JE-0000076,2023-01-09,4100,Shipping Revenue,0.0,13.32,ORD-000020,Shipping charged to customer
JE-0000077,2023-01-09,4000,Product Sales,0.0,158.16,ORD-000021,Order revenue
JE-0000078,2023-01-09,5000,Cost of Goods Sold,63.6,0.0,ORD-000021,Order COGS
JE-0000079,2023-01-09,4100,Shipping Revenue,0.0,11.45,ORD-000021,Shipping charged to customer
JE-0000080,2023-01-09,2100,Sales Tax Payable,0.0,11.47,ORD-000021,Sales tax collected
JE-0000081,2023-01-10,4000,Product Sales,0.0,2611.64,ORD-000022,Order revenue
JE-0000082,2023-01-10,5000,Cost of Goods Sold,1525.82,0.0,ORD-000022,Order COGS
JE-0000083,2023-01-10,4100,Shipping Revenue,0.0,81.83,ORD-000022,Shipping charged to customer
JE-0000084,2023-01-10,2100,Sales Tax Payable,0.0,156.7,ORD-000022,Sales tax collected
JE-0000085,2023-01-10,4000,Product Sales,0.0,930.36,ORD-000023,Order revenue
JE-0000086,2023-01-10,5000,Cost of Goods Sold,331.76,0.0,ORD-000023,Order COGS
JE-0000087,2023-01-10,4100,Shipping Revenue,0.0,32.71,ORD-000023,Shipping charged to customer
JE-0000088,2023-01-10,2100,Sales Tax Payable,0.0,63.73,ORD-000023,Sales tax collected
JE-0000089,2023-01-10,4000,Product Sales,0.0,2825.36,ORD-000024,Order revenue
JE-0000090,2023-01-10,5000,Cost of Goods Sold,1565.56,0.0,ORD-000024,Order COGS
JE-0000091,2023-01-10,4100,Shipping Revenue,0.0,21.92,ORD-000024,Shipping charged to customer
JE-0000092,2023-01-10,2100,Sales Tax Payable,0.0,183.65,ORD-000024,Sales tax collected
JE-0000093,2023-01-10,4000,Product Sales,0.0,1190.98,ORD-000025,Order revenue
JE-0000094,2023-01-10,5000,Cost of Goods Sold,492.52,0.0,ORD-000025,Order COGS
JE-0000095,2023-01-10,4100,Shipping Revenue,0.0,60.44,ORD-000025,Shipping charged to customer
JE-0000096,2023-01-10,2100,Sales Tax Payable,0.0,83.37,ORD-000025,Sales tax collected
JE-0000097,2023-01-11,4000,Product Sales,0.0,4774.86,ORD-000026,Order revenue
JE-0000098,2023-01-11,5000,Cost of Goods Sold,2388.63,0.0,ORD-000026,Order COGS
JE-0000099,2023-01-11,4100,Shipping Revenue,0.0,96.85,ORD-000026,Shipping charged to customer
JE-0000100,2023-01-11,2100,Sales Tax Payable,0.0,214.87,ORD-000026,Sales tax collected
JE-0000101,2023-01-11,4000,Product Sales,0.0,1255.1,ORD-000027,Order revenue
JE-0000102,2023-01-11,5000,Cost of Goods Sold,597.9,0.0,ORD-000027,Order COGS
JE-0000103,2023-01-11,4100,Shipping Revenue,0.0,17.84,ORD-000027,Shipping charged to customer
JE-0000104,2023-01-11,2100,Sales Tax Payable,0.0,75.31,ORD-000027,Sales tax collected
JE-0000105,2023-01-11,4000,Product Sales,0.0,1276.64,ORD-000028,Order revenue
JE-0000106,2023-01-11,5000,Cost of Goods Sold,783.01,0.0,ORD-000028,Order COGS
JE-0000107,2023-01-11,4100,Shipping Revenue,0.0,34.9,ORD-000028,Shipping charged to customer
JE-0000108,2023-01-11,2100,Sales Tax Payable,0.0,60.64,ORD-000028,Sales tax collected
JE-0000109,2023-01-11,4000,Product Sales,0.0,224.66,ORD-000029,Order revenue
JE-0000110,2023-01-11,5000,Cost of Goods Sold,145.09,0.0,ORD-000029,Order COGS
JE-0000111,2023-01-11,4100,Shipping Revenue,0.0,10.8,ORD-000029,Shipping charged to customer
JE-0000112,2023-01-11,2100,Sales Tax Payable,0.0,8.99,ORD-000029,Sales tax collected
JE-0000113,2023-01-11,4000,Product Sales,0.0,1572.62,ORD-000030,Order revenue
JE-0000114,2023-01-11,5000,Cost of Goods Sold,1015.63,0.0,ORD-000030,Order COGS
JE-0000115,2023-01-11,4100,Shipping Revenue,0.0,17.61,ORD-000030,Shipping charged to customer
JE-0000116,2023-01-11,2100,Sales Tax Payable,0.0,114.01,ORD-000030,Sales tax collected
JE-0000117,2023-01-11,4000,Product Sales,0.0,2785.67,ORD-000031,Order revenue
JE-0000118,2023-01-11,5000,Cost of Goods Sold,985.13,0.0,ORD-000031,Order COGS
JE-0000119,2023-01-11,4100,Shipping Revenue,0.0,116.0,ORD-000031,Shipping charged to customer
JE-0000120,2023-01-11,2100,Sales Tax Payable,0.0,174.1,ORD-000031,Sales tax collected
JE-0000121,2023-01-11,4000,Product Sales,0.0,1288.7,ORD-000032,Order revenue
JE-0000122,2023-01-11,5000,Cost of Goods Sold,550.9,0.0,ORD-000032,Order COGS
JE-0000123,2023-01-11,4100,Shipping Revenue,0.0,21.14,ORD-000032,Shipping charged to customer
JE-0000124,2023-01-11,2100,Sales Tax Payable,0.0,77.32,ORD-000032,Sales tax collected
JE-0000125,2023-01-12,4000,Product Sales,0.0,1768.4,ORD-000033,Order revenue
JE-0000126,2023-01-12,5000,Cost of Goods Sold,769.01,0.0,ORD-000033,Order COGS
JE-0000127,2023-01-12,4100,Shipping Revenue,0.0,56.51,ORD-000033,Shipping charged to customer
JE-0000128,2023-01-12,2100,Sales Tax Payable,0.0,61.25,ORD-000033,Sales tax collected
JE-0000129,2023-01-12,4000,Product Sales,0.0,844.74,ORD-000034,Order revenue
JE-0000130,2023-01-12,5000,Cost of Goods Sold,549.0,0.0,ORD-000034,Order COGS
JE-0000131,2023-01-12,4100,Shipping Revenue,0.0,28.21,ORD-000034,Shipping charged to customer
JE-0000132,2023-01-12,2100,Sales Tax Payable,0.0,55.75,ORD-000034,Sales tax collected
JE-0000133,2023-01-12,4000,Product Sales,0.0,5586.04,ORD-000035,Order revenue
JE-0000134,2023-01-12,5000,Cost of Goods Sold,2501.1,0.0,ORD-000035,Order COGS
JE-0000135,2023-01-12,4100,Shipping Revenue,0.0,22.9,ORD-000035,Shipping charged to customer
JE-0000136,2023-01-12,4000,Product Sales,0.0,3956.14,ORD-000036,Order revenue
JE-0000137,2023-01-12,5000,Cost of Goods Sold,2133.83,0.0,ORD-000036,Order COGS
JE-0000138,2023-01-12,4100,Shipping Revenue,0.0,174.94,ORD-000036,Shipping charged to customer
JE-0000139,2023-01-12,2100,Sales Tax Payable,0.0,187.92,ORD-000036,Sales tax collected
JE-0000140,2023-01-13,4000,Product Sales,0.0,3313.39,ORD-000037,Order revenue
JE-0000141,2023-01-13,5000,Cost of Goods Sold,1594.97,0.0,ORD-000037,Order COGS
JE-0000142,2023-01-13,4100,Shipping Revenue,0.0,63.18,ORD-000037,Shipping charged to customer
JE-0000143,2023-01-13,2100,Sales Tax Payable,0.0,198.8,ORD-000037,Sales tax collected
JE-0000144,2023-01-13,4000,Product Sales,0.0,1226.96,ORD-000038,Order revenue
JE-0000145,2023-01-13,5000,Cost of Goods Sold,652.92,0.0,ORD-000038,Order COGS
JE-0000146,2023-01-13,4100,Shipping Revenue,0.0,110.42,ORD-000038,Shipping charged to customer
JE-0000147,2023-01-13,2100,Sales Tax Payable,0.0,70.55,ORD-000038,Sales tax collected
JE-0000148,2023-01-13,4000,Product Sales,0.0,4603.68,ORD-000039,Order revenue
JE-0000149,2023-01-13,5000,Cost of Goods Sold,1794.92,0.0,ORD-000039,Order COGS
JE-0000150,2023-01-13,4100,Shipping Revenue,0.0,68.8,ORD-000039,Shipping charged to customer
JE-0000151,2023-01-13,2100,Sales Tax Payable,0.0,276.22,ORD-000039,Sales tax collected
JE-0000152,2023-01-13,4000,Product Sales,0.0,567.63,ORD-000040,Order revenue
JE-0000153,2023-01-13,5000,Cost of Goods Sold,291.87,0.0,ORD-000040,Order COGS
JE-0000154,2023-01-13,4100,Shipping Revenue,0.0,22.95,ORD-000040,Shipping charged to customer
JE-0000155,2023-01-13,2100,Sales Tax Payable,0.0,36.9,ORD-000040,Sales tax collected
JE-0000156,2023-01-13,4000,Product Sales,0.0,1745.59,ORD-000041,Order revenue
JE-0000157,2023-01-13,5000,Cost of Goods Sold,1157.45,0.0,ORD-000041,Order COGS
JE-0000158,2023-01-13,4100,Shipping Revenue,0.0,46.53,ORD-000041,Shipping charged to customer
JE-0000159,2023-01-13,4000,Product Sales,0.0,1341.21,ORD-000042,Order revenue
JE-0000160,2023-01-13,5000,Cost of Goods Sold,832.77,0.0,ORD-000042,Order COGS
JE-0000161,2023-01-13,4100,Shipping Revenue,0.0,41.78,ORD-000042,Shipping charged to customer
JE-0000162,2023-01-13,2100,Sales Tax Payable,0.0,80.47,ORD-000042,Sales tax collected
JE-0000163,2023-01-14,4000,Product Sales,0.0,60.52,ORD-000043,Order revenue
JE-0000164,2023-01-14,5000,Cost of Goods Sold,31.04,0.0,ORD-000043,Order COGS
JE-0000165,2023-01-14,4100,Shipping Revenue,0.0,20.97,ORD-000043,Shipping charged to customer
JE-0000166,2023-01-14,4000,Product Sales,0.0,7101.36,ORD-000044,Order revenue
JE-0000167,2023-01-14,5000,Cost of Goods Sold,3417.45,0.0,ORD-000044,Order COGS
JE-0000168,2023-01-14,4100,Shipping Revenue,0.0,207.44,ORD-000044,Shipping charged to customer
JE-0000169,2023-01-14,2100,Sales Tax Payable,0.0,426.08,ORD-000044,Sales tax collected
JE-0000170,2023-01-14,4000,Product Sales,0.0,3275.05,ORD-000045,Order revenue
JE-0000171,2023-01-14,5000,Cost of Goods Sold,1629.8,0.0,ORD-000045,Order COGS
JE-0000172,2023-01-14,4100,Shipping Revenue,0.0,130.79,ORD-000045,Shipping charged to customer
JE-0000173,2023-01-14,2100,Sales Tax Payable,0.0,173.58,ORD-000045,Sales tax collected
JE-0000174,2023-01-16,4000,Product Sales,0.0,1076.84,ORD-000046,Order revenue
JE-0000175,2023-01-16,5000,Cost of Goods Sold,377.48,0.0,ORD-000046,Order COGS
JE-0000176,2023-01-16,4100,Shipping Revenue,0.0,29.4,ORD-000046,Shipping charged to customer
JE-0000177,2023-01-16,2100,Sales Tax Payable,0.0,68.38,ORD-000046,Sales tax collected
JE-0000178,2023-01-17,4000,Product Sales,0.0,1149.05,ORD-000047,Order revenue
JE-0000179,2023-01-17,5000,Cost of Goods Sold,594.1,0.0,ORD-000047,Order COGS
JE-0000180,2023-01-17,4100,Shipping Revenue,0.0,40.26,ORD-000047,Shipping charged to customer
JE-0000181,2023-01-17,2100,Sales Tax Payable,0.0,45.96,ORD-000047,Sales tax collected
JE-0000182,2023-01-17,4000,Product Sales,0.0,2829.74,ORD-000048,Order revenue
JE-0000183,2023-01-17,5000,Cost of Goods Sold,1139.98,0.0,ORD-000048,Order COGS
JE-0000184,2023-01-17,4100,Shipping Revenue,0.0,140.1,ORD-000048,Shipping charged to customer
JE-0000185,2023-01-17,2100,Sales Tax Payable,0.0,169.78,ORD-000048,Sales tax collected
JE-0000186,2023-01-18,4000,Product Sales,0.0,800.0,ORD-000049,Order revenue
JE-0000187,2023-01-18,5000,Cost of Goods Sold,389.52,0.0,ORD-000049,Order COGS
JE-0000188,2023-01-18,4100,Shipping Revenue,0.0,7.53,ORD-000049,Shipping charged to customer
JE-0000189,2023-01-18,2100,Sales Tax Payable,0.0,48.0,ORD-000049,Sales tax collected
JE-0000190,2023-01-18,4000,Product Sales,0.0,2237.26,ORD-000050,Order revenue
JE-0000191,2023-01-18,5000,Cost of Goods Sold,1184.8,0.0,ORD-000050,Order COGS
JE-0000192,2023-01-18,4100,Shipping Revenue,0.0,151.07,ORD-000050,Shipping charged to customer
JE-0000193,2023-01-18,2100,Sales Tax Payable,0.0,89.49,ORD-000050,Sales tax collected
JE-0000194,2023-01-18,4000,Product Sales,0.0,3360.93,ORD-000051,Order revenue
JE-0000195,2023-01-18,5000,Cost of Goods Sold,1397.18,0.0,ORD-000051,Order COGS
JE-0000196,2023-01-18,4100,Shipping Revenue,0.0,101.24,ORD-000051,Shipping charged to customer
JE-0000197,2023-01-18,2100,Sales Tax Payable,0.0,134.44,ORD-000051,Sales tax collected
JE-0000198,2023-01-19,4000,Product Sales,0.0,2201.41,ORD-000052,Order revenue
JE-0000199,2023-01-19,5000,Cost of Goods Sold,1359.42,0.0,ORD-000052,Order COGS
JE-0000200,2023-01-19,4100,Shipping Revenue,0.0,94.44,ORD-000052,Shipping charged to customer
JE-0000201,2023-01-19,2100,Sales Tax Payable,0.0,63.84,ORD-000052,Sales tax collected
JE-0000202,2023-01-20,4000,Product Sales,0.0,2034.78,ORD-000053,Order revenue
JE-0000203,2023-01-20,5000,Cost of Goods Sold,768.48,0.0,ORD-000053,Order COGS
JE-0000204,2023-01-20,4100,Shipping Revenue,0.0,75.84,ORD-000053,Shipping charged to customer
JE-0000205,2023-01-20,2100,Sales Tax Payable,0.0,117.0,ORD-000053,Sales tax collected
JE-0000206,2023-01-20,4000,Product Sales,0.0,573.48,ORD-000054,Order revenue
JE-0000207,2023-01-20,5000,Cost of Goods Sold,375.9,0.0,ORD-000054,Order COGS
JE-0000208,2023-01-20,4100,Shipping Revenue,0.0,43.98,ORD-000054,Shipping charged to customer
JE-0000209,2023-01-20,2100,Sales Tax Payable,0.0,34.41,ORD-000054,Sales tax collected
JE-0000210,2023-01-22,4000,Product Sales,0.0,1003.28,ORD-000056,Order revenue
JE-0000211,2023-01-22,5000,Cost of Goods Sold,472.4,0.0,ORD-000056,Order COGS
JE-0000212,2023-01-22,4100,Shipping Revenue,0.0,34.8,ORD-000056,Shipping charged to customer
JE-0000213,2023-01-22,2100,Sales Tax Payable,0.0,60.2,ORD-000056,Sales tax collected
JE-0000214,2023-01-22,4000,Product Sales,0.0,383.39,ORD-000057,Order revenue
JE-0000215,2023-01-22,5000,Cost of Goods Sold,136.31,0.0,ORD-000057,Order COGS
JE-0000216,2023-01-22,4100,Shipping Revenue,0.0,5.14,ORD-000057,Shipping charged to customer
JE-0000217,2023-01-23,4000,Product Sales,0.0,6783.33,ORD-000058,Order revenue
JE-0000218,2023-01-23,5000,Cost of Goods Sold,2871.59,0.0,ORD-000058,Order COGS
JE-0000219,2023-01-23,4100,Shipping Revenue,0.0,107.51,ORD-000058,Shipping charged to customer
JE-0000220,2023-01-23,2100,Sales Tax Payable,0.0,271.33,ORD-000058,Sales tax collected
JE-0000221,2023-01-24,4000,Product Sales,0.0,98.16,ORD-000059,Order revenue
JE-0000222,2023-01-24,5000,Cost of Goods Sold,59.28,0.0,ORD-000059,Order COGS
JE-0000223,2023-01-24,4100,Shipping Revenue,0.0,12.99,ORD-000059,Shipping charged to customer
JE-0000224,2023-01-24,2100,Sales Tax Payable,0.0,3.93,ORD-000059,Sales tax collected
JE-0000225,2023-01-24,4000,Product Sales,0.0,4663.45,ORD-000060,Order revenue
JE-0000226,2023-01-24,5000,Cost of Goods Sold,2293.23,0.0,ORD-000060,Order COGS
JE-0000227,2023-01-24,4100,Shipping Revenue,0.0,134.32,ORD-000060,Shipping charged to customer
JE-0000228,2023-01-24,2100,Sales Tax Payable,0.0,186.54,ORD-000060,Sales tax collected
JE-0000229,2023-01-24,4000,Product Sales,0.0,998.75,ORD-000061,Order revenue
JE-0000230,2023-01-24,5000,Cost of Goods Sold,651.7,0.0,ORD-000061,Order COGS
JE-0000231,2023-01-24,4100,Shipping Revenue,0.0,34.6,ORD-000061,Shipping charged to customer
JE-0000232,2023-01-24,2100,Sales Tax Payable,0.0,72.41,ORD-000061,Sales tax collected
JE-0000233,2023-01-25,4000,Product Sales,0.0,2139.58,ORD-000062,Order revenue
JE-0000234,2023-01-25,5000,Cost of Goods Sold,899.67,0.0,ORD-000062,Order COGS
JE-0000235,2023-01-25,4100,Shipping Revenue,0.0,143.02,ORD-000062,Shipping charged to customer
JE-0000236,2023-01-25,2100,Sales Tax Payable,0.0,130.26,ORD-000062,Sales tax collected
JE-0000237,2023-01-25,4000,Product Sales,0.0,1941.68,ORD-000063,Order revenue
JE-0000238,2023-01-25,5000,Cost of Goods Sold,763.96,0.0,ORD-000063,Order COGS
JE-0000239,2023-01-25,4100,Shipping Revenue,0.0,18.46,ORD-000063,Shipping charged to customer
JE-0000240,2023-01-25,2100,Sales Tax Payable,0.0,106.79,ORD-000063,Sales tax collected
JE-0000241,2023-01-26,4000,Product Sales,0.0,136.15,ORD-000064,Order revenue
JE-0000242,2023-01-26,5000,Cost of Goods Sold,47.77,0.0,ORD-000064,Order COGS
JE-0000243,2023-01-26,4100,Shipping Revenue,0.0,7.7,ORD-000064,Shipping charged to customer
JE-0000244,2023-01-26,2100,Sales Tax Payable,0.0,5.45,ORD-000064,Sales tax collected
JE-0000245,2023-01-27,4000,Product Sales,0.0,2010.78,ORD-000065,Order revenue
JE-0000246,2023-01-27,5000,Cost of Goods Sold,966.83,0.0,ORD-000065,Order COGS
JE-0000247,2023-01-27,4100,Shipping Revenue,0.0,18.0,ORD-000065,Shipping charged to customer
JE-0000248,2023-01-27,2100,Sales Tax Payable,0.0,120.65,ORD-000065,Sales tax collected
JE-0000249,2023-01-28,4000,Product Sales,0.0,3819.97,ORD-000066,Order revenue
JE-0000250,2023-01-28,5000,Cost of Goods Sold,2278.18,0.0,ORD-000066,Order COGS
JE-0000251,2023-01-28,4100,Shipping Revenue,0.0,158.9,ORD-000066,Shipping charged to customer
JE-0000252,2023-01-28,2100,Sales Tax Payable,0.0,152.8,ORD-000066,Sales tax collected
JE-0000253,2023-01-28,4000,Product Sales,0.0,181.12,ORD-000067,Order revenue
JE-0000254,2023-01-28,5000,Cost of Goods Sold,92.6,0.0,ORD-000067,Order COGS
JE-0000255,2023-01-28,4100,Shipping Revenue,0.0,24.95,ORD-000067,Shipping charged to customer
JE-0000256,2023-01-28,2100,Sales Tax Payable,0.0,10.87,ORD-000067,Sales tax collected
JE-0000257,2023-01-29,4000,Product Sales,0.0,1458.25,ORD-000068,Order revenue
JE-0000258,2023-01-29,5000,Cost of Goods Sold,965.6,0.0,ORD-000068,Order COGS
JE-0000259,2023-01-29,4100,Shipping Revenue,0.0,6.31,ORD-000068,Shipping charged to customer
JE-0000260,2023-01-29,2100,Sales Tax Payable,0.0,58.33,ORD-000068,Sales tax collected
JE-0000261,2023-01-30,4000,Product Sales,0.0,210.88,ORD-000069,Order revenue
JE-0000262,2023-01-30,5000,Cost of Goods Sold,84.8,0.0,ORD-000069,Order COGS
JE-0000263,2023-01-30,4100,Shipping Revenue,0.0,16.31,ORD-000069,Shipping charged to customer
JE-0000264,2023-01-30,2100,Sales Tax Payable,0.0,13.71,ORD-000069,Sales tax collected
JE-0000265,2023-01-30,4000,Product Sales,0.0,2935.58,ORD-000071,Order revenue
JE-0000266,2023-01-30,5000,Cost of Goods Sold,1472.27,0.0,ORD-000071,Order COGS
JE-0000267,2023-01-30,4100,Shipping Revenue,0.0,79.81,ORD-000071,Shipping charged to customer
JE-0000268,2023-01-30,2100,Sales Tax Payable,0.0,190.81,ORD-000071,Sales tax collected
JE-0000269,2023-01-31,4000,Product Sales,0.0,5852.64,ORD-000072,Order revenue
JE-0000270,2023-01-31,5000,Cost of Goods Sold,3216.84,0.0,ORD-000072,Order COGS
JE-0000271,2023-01-31,4100,Shipping Revenue,0.0,74.73,ORD-000072,Shipping charged to customer
JE-0000272,2023-01-31,2100,Sales Tax Payable,0.0,351.16,ORD-000072,Sales tax collected
JE-0000273,2023-02-02,4000,Product Sales,0.0,1680.12,ORD-000073,Order revenue
JE-0000274,2023-02-02,5000,Cost of Goods Sold,1015.92,0.0,ORD-000073,Order COGS
JE-0000275,2023-02-02,4100,Shipping Revenue,0.0,46.13,ORD-000073,Shipping charged to customer
JE-0000276,2023-02-02,2100,Sales Tax Payable,0.0,106.69,ORD-000073,Sales tax collected
JE-0000277,2023-02-02,4000,Product Sales,0.0,2682.04,ORD-000074,Order revenue
JE-0000278,2023-02-02,5000,Cost of Goods Sold,1197.83,0.0,ORD-000074,Order COGS
JE-0000279,2023-02-02,4100,Shipping Revenue,0.0,74.68,ORD-000074,Shipping charged to customer
JE-0000280,2023-02-03,4000,Product Sales,0.0,6836.3,ORD-000075,Order revenue
JE-0000281,2023-02-03,5000,Cost of Goods Sold,3357.29,0.0,ORD-000075,Order COGS
JE-0000282,2023-02-03,4100,Shipping Revenue,0.0,339.84,ORD-000075,Shipping charged to customer
JE-0000283,2023-02-03,2100,Sales Tax Payable,0.0,410.18,ORD-000075,Sales tax collected
JE-0000284,2023-02-03,4000,Product Sales,0.0,1456.26,ORD-000076,Order revenue
JE-0000285,2023-02-03,5000,Cost of Goods Sold,572.97,0.0,ORD-000076,Order COGS
JE-0000286,2023-02-03,4100,Shipping Revenue,0.0,20.09,ORD-000076,Shipping charged to customer
