shipment_id,order_id,carrier,allocated_cost,allocation_pct
SHIP-000062,ORD-001697,UPS,35.93,0.708
SHIP-000063,ORD-000064,Amazon Logistics,7.7,1.0
SHIP-000064,ORD-000065,Amazon Logistics,23.53,0.3864
SHIP-000064,ORD-001762,Amazon Logistics,37.35,0.6136
SHIP-000065,ORD-000066,DHL,148.68,0.55
SHIP-000065,ORD-001764,DHL,121.63,0.45
SHIP-000066,ORD-000067,FedEx,19.27,0.1481
SHIP-000066,ORD-001793,FedEx,110.85,0.8519
SHIP-000067,ORD-000068,USPS,2.06,0.0481
SHIP-000067,ORD-002073,USPS,40.85,0.9519
SHIP-000068,ORD-000069,USPS,18.24,0.1257
SHIP-000068,ORD-002085,USPS,126.89,0.8743
SHIP-000069,ORD-000071,DHL,72.39,0.5222
SHIP-000069,ORD-002112,DHL,66.23,0.4778
SHIP-000070,ORD-000072,FedEx,74.49,0.7879
SHIP-000070,ORD-002162,FedEx,20.05,0.2121
SHIP-000071,ORD-000073,USPS,55.78,0.5632
SHIP-000071,ORD-002174,USPS,43.27,0.4368
SHIP-000072,ORD-000074,UPS,76.94,0.7472
SHIP-000072,ORD-002200,UPS,26.02,0.2528
SHIP-000073,ORD-000075,DHL,327.21,0.6776
SHIP-000073,ORD-002209,DHL,155.67,0.3224
SHIP-000074,ORD-000076,DHL,10.96,0.0957
SHIP-000074,ORD-002325,DHL,103.55,0.9043
SHIP-000075,ORD-000077,USPS,60.32,0.9409
SHIP-000075,ORD-002327,USPS,3.79,0.0591
SHIP-000076,ORD-000078,USPS,62.55,0.8774
SHIP-000076,ORD-002430,USPS,8.74,0.1226
SHIP-000077,ORD-000079,UPS,29.82,0.699
SHIP-000077,ORD-002434,UPS,12.84,0.301
SHIP-000078,ORD-000080,FedEx,204.53,0.6696
SHIP-000078,ORD-002537,FedEx,100.92,0.3304
SHIP-000079,ORD-000081,Amazon Logistics,83.42,0.851
SHIP-000079,ORD-002591,Amazon Logistics,14.6,0.149
SHIP-000080,ORD-000082,USPS,120.13,0.7417
SHIP-000080,ORD-002612,USPS,41.84,0.2583
SHIP-000081,ORD-000083,DHL,68.36,0.8646
SHIP-000081,ORD-002651,DHL,10.71,0.1354
SHIP-000082,ORD-000084,FedEx,31.85,0.3965
SHIP-000082,ORD-002681,FedEx,48.48,0.6035
SHIP-000083,ORD-000085,Amazon Logistics,58.73,0.2735
SHIP-000083,ORD-002717,Amazon Logistics,156.04,0.7265
SHIP-000084,ORD-000086,DHL,30.33,1.0
SHIP-000085,ORD-000087,FedEx,51.74,1.0
SHIP-000086,ORD-000088,FedEx,78.24,0.924
SHIP-000086,ORD-002738,FedEx,6.43,0.076
SHIP-000087,ORD-000089,DHL,102.46,1.0
SHIP-000088,ORD-000090,UPS,118.43,1.0
SHIP-000089,ORD-000091,FedEx,173.56,0.8937
SHIP-000089,ORD-002754,FedEx,20.65,0.1063
SHIP-000090,ORD-000092,DHL,112.3,0.3639
SHIP-000090,ORD-002783,DHL,196.27,0.6361
SHIP-000091,ORD-000093,FedEx,124.33,0.5221
SHIP-000091,ORD-002784,FedEx,113.81,0.4779
SHIP-000092,ORD-000094,DHL,59.93,0.9264
SHIP-000092,ORD-002861,DHL,4.76,0.0736
SHIP-000093,ORD-000095,Amazon Logistics,3.17,0.1928
SHIP-000093,ORD-002869,Amazon Logistics,13.28,0.8072
SHIP-000094,ORD-000096,DHL,81.56,0.7123
SHIP-000094,ORD-002871,DHL,32.93,0.2877
SHIP-000095,ORD-000097,USPS,86.47,0.6617
SHIP-000095,ORD-002906,USPS,44.22,0.3383
SHIP-000096,ORD-000098,FedEx,12.91,0.0609
SHIP-000096,ORD-002924,FedEx,199.09,0.9391
SHIP-000097,ORD-000099,DHL,8.49,0.0878
SHIP-000097,ORD-002929,DHL,88.25,0.9122
SHIP-000098,ORD-000100,Amazon Logistics,68.53,0.7465
SHIP-000098,ORD-002941,Amazon Logistics,23.28,0.2535
SHIP-000099,ORD-000101,Amazon Logistics,55.38,0.5212
SHIP-000099,ORD-002958,Amazon Logistics,50.88,0.4788
SHIP-000100,ORD-000102,USPS,17.54,1.0
SHIP-000101,ORD-000103,DHL,16.21,0.1963
SHIP-000101,ORD-002964,DHL,66.35,0.8037
SHIP-000102,ORD-000104,FedEx,69.68,0.4233
SHIP-000102,ORD-003096,FedEx,94.93,0.5767
SHIP-000103,ORD-000105,UPS,57.76,0.4183
SHIP-000103,ORD-003124,UPS,80.31,0.5817
SHIP-000104,ORD-000106,UPS,186.64,0.7279
SHIP-000104,ORD-003131,UPS,69.77,0.2721
SHIP-000105,ORD-000107,DHL,44.24,0.1455
SHIP-000105,ORD-003201,DHL,259.87,0.8545
SHIP-000106,ORD-000108,DHL,48.92,0.3055
SHIP-000106,ORD-003233,DHL,111.23,0.6945
SHIP-000107,ORD-000109,DHL,4.67,0.0555
SHIP-000107,ORD-003334,DHL,79.43,0.9445
SHIP-000108,ORD-000110,DHL,33.93,1.0
SHIP-000109,ORD-000111,FedEx,41.51,0.2746
SHIP-000109,ORD-003337,FedEx,109.62,0.7254
SHIP-000110,ORD-000112,Amazon Logistics,16.24,0.5935
SHIP-000110,ORD-003382,Amazon Logistics,11.13,0.4065
SHIP-000111,ORD-000113,UPS,12.25,0.1036
SHIP-000111,ORD-003430,UPS,106.04,0.8964
SHIP-000112,ORD-000114,UPS,45.07,1.0
SHIP-000113,ORD-000115,USPS,41.58,1.0
SHIP-000114,ORD-000116,Amazon Logistics,84.4,1.0
SHIP-000115,ORD-000117,UPS,32.33,1.0
SHIP-000116,ORD-000118,DHL,37.65,1.0
SHIP-000117,ORD-000119,UPS,16.36,1.0
SHIP-000118,ORD-000120,DHL,198.11,1.0
SHIP-000119,ORD-000121,USPS,65.03,1.0
SHIP-000120,ORD-000122,UPS,119.86,1.0
SHIP-000121,ORD-000123,DHL,91.26,1.0
SHIP-000122,ORD-000124,Amazon Logistics,79.67,1.0
SHIP-000123,ORD-000125,FedEx,102.33,1.0
SHIP-000124,ORD-000126,DHL,95.15,1.0
SHIP-000125,ORD-000127,Amazon Logistics,22.72,1.0
SHIP-000126,ORD-000128,DHL,374.93,1.0
SHIP-000127,ORD-000129,Amazon Logistics,38.8,1.0
SHIP-000128,ORD-000130,Amazon Logistics,43.96,1.0
SHIP-000129,ORD-000131,USPS,47.27,1.0
SHIP-000130,ORD-000132,Amazon Logistics,100.77,1.0
SHIP-000131,ORD-000133,Amazon Logistics,40.56,1.0
SHIP-000132,ORD-000134,USPS,70.97,1.0
SHIP-000133,ORD-000135,UPS,27.27,1.0
SHIP-000134,ORD-000136,UPS,110.6,1.0
SHIP-000135,ORD-000137,UPS,203.72,1.0
SHIP-000136,ORD-000138,UPS,16.36,1.0
SHIP-000137,ORD-000140,USPS,97.52,1.0
SHIP-000138,ORD-000141,USPS,28.63,1.0
SHIP-000139,ORD-000142,DHL,85.58,1.0
SHIP-000140,ORD-000143,UPS,13.12,1.0
SHIP-000141,ORD-000144,FedEx,48.6,1.0
SHIP-000142,ORD-000145,DHL,90.52,1.0
SHIP-000143,ORD-000146,Amazon Logistics,22.8,1.0
SHIP-000144,ORD-000147,UPS,91.97,1.0
SHIP-000145,ORD-000148,UPS,63.16,1.0
SHIP-000146,ORD-000149,DHL,26.68,1.0
SHIP-000147,ORD-000151,FedEx,99.76,1.0
SHIP-000148,ORD-000152,UPS,60.71,1.0
SHIP-000149,ORD-000153,USPS,69.38,1.0
SHIP-000150,ORD-000154,FedEx,52.59,1.0
SHIP-000151,ORD-000155,DHL,142.73,1.0
SHIP-000152,ORD-000156,USPS,49.04,1.0
SHIP-000153,ORD-000157,Amazon Logistics,15.15,1.0
SHIP-000154,ORD-000158,DHL,65.99,1.0
SHIP-000155,ORD-000159,DHL,199.48,1.0
SHIP-000156,ORD-000160,FedEx,78.83,1.0
SHIP-000157,ORD-000161,DHL,12.12,1.0
SHIP-000158,ORD-000162,DHL,81.88,1.0
SHIP-000159,ORD-000163,USPS,107.34,1.0
SHIP-000160,ORD-000164,Amazon Logistics,21.8,1.0
SHIP-000161,ORD-000165,UPS,36.42,1.0
SHIP-000162,ORD-000166,FedEx,28.05,1.0
SHIP-000163,ORD-000167,UPS,10.01,1.0
SHIP-000164,ORD-000168,UPS,19.34,1.0
SHIP-000165,ORD-000169,FedEx,97.84,1.0
SHIP-000166,ORD-000170,DHL,178.99,1.0
SHIP-000167,ORD-000171,FedEx,33.18,1.0
SHIP-000168,ORD-000172,FedEx,44.96,1.0
SHIP-000169,ORD-000173,Amazon Logistics,7.9,1.0
SHIP-000170,ORD-000174,USPS,90.96,1.0
SHIP-000171,ORD-000175,Amazon Logistics,14.12,1.0
SHIP-000172,ORD-000176,FedEx,127.34,1.0
SHIP-000173,ORD-000177,USPS,26.31,1.0
SHIP-000174,ORD-000178,Amazon Logistics,8.89,1.0
SHIP-000175,ORD-000179,FedEx,52.38,1.0
SHIP-000176,ORD-000180,Amazon Logistics,152.21,1.0
SHIP-000177,ORD-000181,DHL,73.08,1.0
SHIP-000178,ORD-000182,DHL,32.54,1.0
SHIP-000179,ORD-000183,USPS,41.82,1.0
SHIP-000180,ORD-000184,DHL,30.55,1.0
SHIP-000181,ORD-000185,UPS,25.99,1.0
SHIP-000182,ORD-000186,Amazon Logistics,38.54,1.0
SHIP-000183,ORD-000187,FedEx,181.31,1.0
SHIP-000184,ORD-000188,DHL,29.23,1.0
SHIP-000185,ORD-000189,FedEx,22.25,1.0
SHIP-000186,ORD-000190,USPS,55.85,1.0
SHIP-000187,ORD-000191,Amazon Logistics,62.31,1.0
SHIP-000188,ORD-000192,FedEx,63.62,1.0
SHIP-000189,ORD-000194,USPS,48.57,1.0
SHIP-000190,ORD-000195,DHL,125.88,1.0
SHIP-000191,ORD-000196,USPS,96.59,1.0
SHIP-000192,ORD-000197,DHL,43.4,1.0
SHIP-000193,ORD-000198,Amazon Logistics,107.06,1.0
SHIP-000194,ORD-000199,UPS,77.63,1.0
SHIP-000195,ORD-000200,FedEx,20.8,1.0
SHIP-000196,ORD-000201,DHL,96.17,1.0
SHIP-000197,ORD-000202,Amazon Logistics,36.93,1.0
SHIP-000198,ORD-000203,DHL,31.87,1.0
SHIP-000199,ORD-000204,DHL,70.13,1.0
SHIP-000200,ORD-000205,DHL,66.92,1.0
SHIP-000201,ORD-000206,Amazon Logistics,89.9,1.0
SHIP-000202,ORD-000207,UPS,127.0,1.0
SHIP-000203,ORD-000208,UPS,46.84,1.0
SHIP-000204,ORD-000209,USPS,32.06,1.0
SHIP-000205,ORD-000210,FedEx,20.47,1.0
SHIP-000206,ORD-000211,FedEx,54.33,1.0
SHIP-000207,ORD-000212,UPS,62.65,1.0
SHIP-000208,ORD-000213,DHL,81.65,1.0
SHIP-000209,ORD-000214,UPS,48.22,1.0
SHIP-000210,ORD-000215,DHL,168.0,1.0
SHIP-000211,ORD-000216,USPS,21.76,1.0
SHIP-000212,ORD-000217,DHL,184.23,1.0
SHIP-000213,ORD-000218,UPS,92.71,1.0
SHIP-000214,ORD-000219,USPS,27.4,1.0
SHIP-000215,ORD-000220,FedEx,103.59,1.0
SHIP-000216,ORD-000221,DHL,102.22,1.0
SHIP-000217,ORD-000222,UPS,42.84,1.0
SHIP-000218,ORD-000223,USPS,6.42,1.0
SHIP-000219,ORD-000224,USPS,65.93,1.0
SHIP-000220,ORD-000225,DHL,125.56,1.0
SHIP-000221,ORD-000226,Amazon Logistics,10.77,1.0
SHIP-000222,ORD-000227,USPS,46.41,1.0
SHIP-000223,ORD-000228,Amazon Logistics,28.96,1.0
SHIP-000224,ORD-000229,USPS,70.58,1.0
SHIP-000225,ORD-000230,USPS,34.97,1.0
SHIP-000226,ORD-000231,USPS,27.6,1.0
SHIP-000227,ORD-000232,FedEx,19.48,1.0
SHIP-000228,ORD-000233,UPS,45.98,1.0
SHIP-000229,ORD-000234,USPS,65.89,1.0
SHIP-000230,ORD-000235,Amazon Logistics,26.03,1.0
SHIP-000231,ORD-000236,FedEx,61.88,1.0
SHIP-000232,ORD-000237,FedEx,135.36,1.0
SHIP-000233,ORD-000238,DHL,245.14,1.0
SHIP-000234,ORD-000239,USPS,32.29,1.0
SHIP-000235,ORD-000240,USPS,29.42,1.0
SHIP-000236,ORD-000241,UPS,42.71,1.0
SHIP-000237,ORD-000242,DHL,80.15,1.0
SHIP-000238,ORD-000243,Amazon Logistics,33.34,1.0
SHIP-000239,ORD-000244,UPS,12.77,1.0
SHIP-000240,ORD-000245,Amazon Logistics,42.47,1.0
SHIP-000241,ORD-000246,UPS,179.88,1.0
SHIP-000242,ORD-000248,FedEx,104.6,1.0
SHIP-000243,ORD-000249,DHL,110.74,1.0
SHIP-000244,ORD-000250,Amazon Logistics,7.92,1.0
SHIP-000245,ORD-000251,Amazon Logistics,7.54,1.0
SHIP-000246,ORD-000252,FedEx,72.09,1.0
SHIP-000247,ORD-000253,FedEx,182.22,1.0
SHIP-000248,ORD-000254,DHL,228.78,1.0
SHIP-000249,ORD-000255,UPS,27.41,1.0
SHIP-000250,ORD-000256,Amazon Logistics,18.3,1.0
SHIP-000251,ORD-000257,DHL,50.04,1.0
SHIP-000252,ORD-000258,UPS,56.36,1.0
SHIP-000253,ORD-000259,DHL,92.42,1.0
SHIP-000254,ORD-000260,USPS,9.86,1.0
SHIP-000255,ORD-000261,UPS,43.85,1.0
SHIP-000256,ORD-000262,UPS,26.49,1.0
SHIP-000257,ORD-000263,DHL,90.97,1.0
SHIP-000258,ORD-000264,USPS,6.75,1.0
SHIP-000259,ORD-000265,Amazon Logistics,40.34,1.0
SHIP-000260,ORD-000266,UPS,53.41,1.0
SHIP-000261,ORD-000268,DHL,103.45,1.0
SHIP-000262,ORD-000269,UPS,26.39,1.0
SHIP-000263,ORD-000270,DHL,100.41,1.0
SHIP-000264,ORD-000271,FedEx,65.52,1.0
SHIP-000265,ORD-000273,DHL,228.97,1.0
SHIP-000266,ORD-000274,Amazon Logistics,41.41,1.0
SHIP-000267,ORD-000275,Amazon Logistics,67.89,1.0
SHIP-000268,ORD-000276,DHL,103.62,1.0
SHIP-000269,ORD-000277,UPS,96.62,1.0
SHIP-000270,ORD-000278,DHL,17.5,1.0
SHIP-000271,ORD-000279,USPS,70.9,1.0
SHIP-000272,ORD-000280,FedEx,15.36,1.0
SHIP-000273,ORD-000281,USPS,6.82,1.0
SHIP-000274,ORD-000282,Amazon Logistics,15.36,1.0
SHIP-000275,ORD-000283,Amazon Logistics,85.22,1.0
SHIP-000276,ORD-000284,Amazon Logistics,19.71,1.0
SHIP-000277,ORD-000285,USPS,39.39,1.0
SHIP-000278,ORD-000286,FedEx,63.4,1.0
SHIP-000279,ORD-000287,FedEx,10.5,1.0
SHIP-000280,ORD-000288,DHL,109.75,1.0
SHIP-000281,ORD-000289,UPS,81.0,1.0
SHIP-000282,ORD-000290,FedEx,10.98,1.0
SHIP-000283,ORD-000291,UPS,157.61,1.0
SHIP-000284,ORD-000292,Amazon Logistics,55.78,1.0
SHIP-000285,ORD-000293,Amazon Logistics,49.25,1.0
SHIP-000286,ORD-000294,Amazon Logistics,36.58,1.0
SHIP-000287,ORD-000295,Amazon Logistics,8.25,1.0
SHIP-000288,ORD-000296,USPS,42.02,1.0
SHIP-000289,ORD-000297,UPS,36.55,1.0
SHIP-000290,ORD-000298,Amazon Logistics,12.35,1.0
SHIP-000291,ORD-000299,UPS,75.77,1.0
SHIP-000292,ORD-000300,FedEx,22.99,1.0
SHIP-000293,ORD-000301,FedEx,31.92,1.0
SHIP-000294,ORD-000303,USPS,15.71,1.0
SHIP-000295,ORD-000304,DHL,138.51,1.0
SHIP-000296,ORD-000305,FedEx,30.3,1.0
SHIP-000297,ORD-000306,DHL,24.13,1.0
SHIP-000298,ORD-000307,UPS,12.87,1.0
SHIP-000299,ORD-000308,Amazon Logistics,27.17,1.0
SHIP-000300,ORD-000309,UPS,12.22,1.0
SHIP-000301,ORD-000310,USPS,18.34,1.0
SHIP-000302,ORD-000311,UPS,34.76,1.0
SHIP-000303,ORD-000312,UPS,82.25,1.0
SHIP-000304,ORD-000313,Amazon Logistics,64.04,1.0
SHIP-000305,ORD-000314,UPS,11.88,1.0
SHIP-000306,ORD-000315,Amazon Logistics,41.34,1.0
SHIP-000307,ORD-000317,USPS,125.33,1.0
SHIP-000308,ORD-000318,DHL,48.92,1.0
SHIP-000309,ORD-000319,USPS,28.36,1.0
SHIP-000310,ORD-000320,DHL,247.46,1.0
SHIP-000311,ORD-000321,Amazon Logistics,10.62,1.0
SHIP-000312,ORD-000322,USPS,20.84,1.0
SHIP-000313,ORD-000323,UPS,26.69,1.0
SHIP-000314,ORD-000324,UPS,214.79,1.0
SHIP-000315,ORD-000325,FedEx,120.84,1.0
SHIP-000316,ORD-000326,FedEx,108.0,1.0
SHIP-000317,ORD-000328,FedEx,13.29,1.0
SHIP-000318,ORD-000329,USPS,14.61,1.0
SHIP-000319,ORD-000330,USPS,41.54,1.0
SHIP-000320,ORD-000331,DHL,72.41,1.0
SHIP-000321,ORD-000332,Amazon Logistics,38.03,1.0
SHIP-000322,ORD-000333,USPS,30.91,1.0
SHIP-000323,ORD-000335,UPS,10.22,1.0
SHIP-000324,ORD-000336,UPS,47.34,1.0
SHIP-000325,ORD-000337,FedEx,16.03,1.0
SHIP-000326,ORD-000338,FedEx,157.64,1.0
SHIP-000327,ORD-000339,FedEx,82.12,1.0
SHIP-000328,ORD-000340,FedEx,17.49,1.0
SHIP-000329,ORD-000341,DHL,81.42,1.0
SHIP-000330,ORD-000342,FedEx,57.98,1.0
SHIP-000331,ORD-000343,Amazon Logistics,86.38,1.0
SHIP-000332,ORD-000344,USPS,51.04,1.0
SHIP-000333,ORD-000345,Amazon Logistics,30.08,1.0
SHIP-000334,ORD-000346,UPS,77.26,1.0
SHIP-000335,ORD-000347,UPS,72.8,1.0
SHIP-000336,ORD-000348,USPS,12.6,1.0
SHIP-000337,ORD-000349,UPS,29.62,1.0
SHIP-000338,ORD-000350,FedEx,14.57,1.0
SHIP-000339,ORD-000351,FedEx,40.53,1.0
SHIP-000340,ORD-000352,FedEx,64.89,1.0
SHIP-000341,ORD-000353,Amazon Logistics,25.09,1.0
SHIP-000342,ORD-000354,USPS,97.99,1.0
SHIP-000343,ORD-000355,UPS,21.41,1.0
SHIP-000344,ORD-000356,UPS,60.11,1.0
SHIP-000345,ORD-000357,USPS,35.25,1.0
SHIP-000346,ORD-000358,FedEx,20.84,1.0
SHIP-000347,ORD-000359,UPS,40.33,1.0
SHIP-000348,ORD-000360,UPS,145.82,1.0
SHIP-000349,ORD-000361,Amazon Logistics,21.09,1.0
SHIP-000350,ORD-000362,DHL,205.46,1.0
SHIP-000351,ORD-000363,UPS,127.01,1.0
SHIP-000352,ORD-000364,USPS,31.5,1.0
SHIP-000353,ORD-000365,Amazon Logistics,30.04,1.0
SHIP-000354,ORD-000366,Amazon Logistics,48.1,1.0
SHIP-000355,ORD-000367,FedEx,158.28,1.0
SHIP-000356,ORD-000368,Amazon Logistics,16.63,1.0
SHIP-000357,ORD-000369,FedEx,24.09,1.0
SHIP-000358,ORD-000371,USPS,43.57,1.0
SHIP-000359,ORD-000372,FedEx,32.48,1.0
SHIP-000360,ORD-000373,DHL,115.71,1.0
SHIP-000361,ORD-000374,Amazon Logistics,67.88,1.0
SHIP-000362,ORD-000375,USPS,77.02,1.0
SHIP-000363,ORD-000376,Amazon Logistics,13.69,1.0
SHIP-000364,ORD-000377,UPS,34.52,1.0
SHIP-000365,ORD-000378,DHL,10.62,1.0
SHIP-000366,ORD-000379,USPS,29.81,1.0
SHIP-000367,ORD-000380,USPS,56.63,1.0
SHIP-000368,ORD-000381,UPS,97.4,1.0
SHIP-000369,ORD-000382,FedEx,103.92,1.0
SHIP-000370,ORD-000383,USPS,43.05,1.0
SHIP-000371,ORD-000384,USPS,70.02,1.0
SHIP-000372,ORD-000385,USPS,44.51,1.0
SHIP-000373,ORD-000386,FedEx,37.23,1.0
SHIP-000374,ORD-000387,Amazon Logistics,10.45,1.0
SHIP-000375,ORD-000388,USPS,63.31,1.0
SHIP-000376,ORD-000389,USPS,26.02,1.0
SHIP-000377,ORD-000390,FedEx,34.78,1.0
SHIP-000378,ORD-000392,UPS,84.44,1.0
SHIP-000379,ORD-000393,Amazon Logistics,36.43,1.0
SHIP-000380,ORD-000394,FedEx,114.7,1.0
SHIP-000381,ORD-000395,Amazon Logistics,61.52,1.0
SHIP-000382,ORD-000396,UPS,28.33,1.0
SHIP-000383,ORD-000397,DHL,114.18,1.0
SHIP-000384,ORD-000398,DHL,62.23,1.0
SHIP-000385,ORD-000399,DHL,117.13,1.0
SHIP-000386,ORD-000400,UPS,13.21,1.0
SHIP-000387,ORD-000401,FedEx,100.52,1.0
SHIP-000388,ORD-000402,Amazon Logistics,28.65,1.0
SHIP-000389,ORD-000403,USPS,39.72,1.0
SHIP-000390,ORD-000404,DHL,179.84,1.0
